mala, 8, 1757.86, 0.903
zambujeira, 10, 2197.32, 1.000
muro, 10, 2197.32, 1.000
senta, 2, 439.46, 0.301
graciosa, 6, 1318.39, 0.778
trancoso, 1, 219.73, 0.000
secas, 2, 439.46, 0.301
real, 219, 48121.29, 2.340
cavalinho, 1, 219.73, 0.000
maceira, 1, 219.73, 0.000
chão, 33, 7251.15, 1.519
forno, 5, 1098.66, 0.699
seia, 5, 1098.66, 0.699
caridade, 11, 2417.05, 1.041
estar, 406, 89211.16, 2.609
pombalinho, 1, 219.73, 0.000
pestana, 2, 439.46, 0.301
monsaraz, 7, 1538.12, 0.845
poça, 2, 439.46, 0.301
saída, 145, 31861.13, 2.161
âncora, 2, 439.46, 0.301
cansados, 2, 439.46, 0.301
parceiro, 26, 5713.03, 1.415
cabrito, 3, 659.20, 0.477
adão, 37, 8130.08, 1.568
bombas, 3, 659.20, 0.477
nariz, 7, 1538.12, 0.845
mogege, 1, 219.73, 0.000
desgraça, 1, 219.73, 0.000
navais, 4, 878.93, 0.602
ratos, 12, 2636.78, 1.079
inferno, 6, 1318.39, 0.778
azóia, 1, 219.73, 0.000
mecas, 1, 219.73, 0.000
ascenção, 1, 219.73, 0.000
barradas, 2, 439.46, 0.301
cabanelas, 1, 219.73, 0.000
mortágua, 13, 2856.52, 1.114
cabeceiras, 2, 439.46, 0.301
balcão, 19, 4174.91, 1.279
escola, 216, 47462.10, 2.334
cima, 73, 16040.43, 1.863
lavra, 4, 878.93, 0.602
travancinha, 2, 439.46, 0.301
voltas, 5, 1098.66, 0.699
barroca, 1, 219.73, 0.000
garcia, 18, 3955.17, 1.255
espanha, 258, 56690.84, 2.412
tercena, 1, 219.73, 0.000
frança, 180, 39551.75, 2.255
carreiras, 10, 2197.32, 1.000
chancela, 2, 439.46, 0.301
souto, 1, 219.73, 0.000
costeira, 20, 4394.64, 1.301
bicos, 2, 439.46, 0.301
arca, 2, 439.46, 0.301
portos, 4, 878.93, 0.602
função, 74, 16260.16, 1.869
bexiga, 1, 219.73, 0.000
golegã, 6, 1318.39, 0.778
caldeira, 6, 1318.39, 0.778
glória, 9, 1977.59, 0.954
zambujal, 2, 439.46, 0.301
valbom, 2, 439.46, 0.301
caiadas, 1, 219.73, 0.000
aguiar, 16, 3515.71, 1.204
lançada, 27, 5932.76, 1.431
ligeiras, 1, 219.73, 0.000
brasileira, 34, 7470.89, 1.531
cigana, 2, 439.46, 0.301
ramada, 2, 439.46, 0.301
torrão, 1, 219.73, 0.000
ameixial, 1, 219.73, 0.000
cargas, 4, 878.93, 0.602
forte, 181, 39771.48, 2.258
mourão, 3, 659.20, 0.477
carvoeiro, 1, 219.73, 0.000
viana, 43, 9448.47, 1.633
luso, 11, 2417.05, 1.041
santarém, 28, 6152.49, 1.447
salgadas, 1, 219.73, 0.000
odivelas, 1, 219.73, 0.000
trovoada, 6, 1318.39, 0.778
preto, 13, 2856.52, 1.114
cerejo, 1, 219.73, 0.000
farto, 1, 219.73, 0.000
touro, 6, 1318.39, 0.778
pastorinhos, 1, 219.73, 0.000
rival, 16, 3515.71, 1.204
pena, 157, 34497.91, 2.196
casais, 125, 27466.49, 2.097
segura, 19, 4174.91, 1.279
