jerónimo, 55, 12085.26, 1.740
fabiano, 5, 1098.66, 0.699
maria, 184, 40430.67, 2.265
gomes, 68, 14941.77, 1.833
cícero, 2, 439.46, 0.301
filipa, 8, 1757.86, 0.903
jonas, 45, 9887.94, 1.653
valentim, 15, 3295.98, 1.176
dinis, 7, 1538.12, 0.845
tiago, 69, 15161.50, 1.839
geórgia, 2, 439.46, 0.301
beatriz, 11, 2417.05, 1.041
jaime, 16, 3515.71, 1.204
dália, 1, 219.73, 0.000
ivone, 4, 878.93, 0.602
jorge, 185, 40650.41, 2.267
vicente, 24, 5273.57, 1.380
sócrates, 103, 22632.39, 2.013
eduarda, 1, 219.73, 0.000
duarte, 46, 10107.67, 1.663
alan, 7, 1538.12, 0.845
félix, 10, 2197.32, 1.000
ariana, 7, 1538.12, 0.845
carlota, 1, 219.73, 0.000
adélia, 1, 219.73, 0.000
chantal, 1, 219.73, 0.000
quim, 1, 219.73, 0.000
liberto, 1, 219.73, 0.000
armando, 9, 1977.59, 0.954
catarina, 90, 19775.87, 1.954
libertária, 1, 219.73, 0.000
paulo, 330, 72511.54, 2.519
verónica, 1, 219.73, 0.000
miguel, 202, 44385.85, 2.305
acácio, 5, 1098.66, 0.699
enzo, 1, 219.73, 0.000
bryan, 17, 3735.44, 1.230
licínia, 1, 219.73, 0.000
januário, 5, 1098.66, 0.699
eva, 9, 1977.59, 0.954
natália, 3, 659.20, 0.477
anunciada, 28, 6152.49, 1.447
vera, 6, 1318.39, 0.778
lisandro, 10, 2197.32, 1.000
amélia, 2, 439.46, 0.301
diogo, 54, 11865.52, 1.732
dulce, 1, 219.73, 0.000
cinderela, 1, 219.73, 0.000
andré, 164, 36036.04, 2.215
eric, 13, 2856.52, 1.114
renan, 1, 219.73, 0.000
avelino, 5, 1098.66, 0.699
ilda, 5, 1098.66, 0.699
liliana, 6, 1318.39, 0.778
constâncio, 5, 1098.66, 0.699
rosalina, 1, 219.73, 0.000
luciana, 5, 1098.66, 0.699
almiro, 2, 439.46, 0.301
clara, 61, 13403.65, 1.785
iago, 1, 219.73, 0.000
íris, 1, 219.73, 0.000
letícia, 6, 1318.39, 0.778
leandro, 1, 219.73, 0.000
fábia, 1, 219.73, 0.000
simone, 2, 439.46, 0.301
patrício, 13, 2856.52, 1.114
urânio, 1, 219.73, 0.000
idália, 2, 439.46, 0.301
carlos, 255, 56031.64, 2.407
clemência, 4, 878.93, 0.602
briosa, 3, 659.20, 0.477
teresa, 56, 12304.99, 1.748
sol, 18, 3955.17, 1.255
estrela, 79, 17358.82, 1.898
delfim, 2, 439.46, 0.301
