Suíça, 68, 14941.7710, 1.8325
Uganda, 11, 2417.0512, 1.0414
Sérvia, 19, 4174.9066, 1.2788
Eslováquia, 6, 1318.3916, 0.7782
Índia, 32, 7031.4217, 1.5051
Finlândia, 15, 3295.9789, 1.1761
Colômbia, 5, 1098.6596, 0.6990
Argentina, 35, 7690.6174, 1.5441
Irão, 62, 13623.3795, 1.7924
Ruanda, 1, 219.7319, 0.0000
Iraque, 48, 10547.1325, 1.6812
Grécia, 373, 81960.0088, 2.5717
França, 180, 39551.7469, 2.2553
Nepal, 1, 219.7319, 0.0000
Qatar, 6, 1318.3916, 0.7782
Liechtenstein, 2, 439.4639, 0.3010
Chile, 3, 659.1958, 0.4771
Brasil, 68, 14941.7710, 1.8325
Holanda, 26, 5713.0301, 1.4150
Sudão, 25, 5493.2982, 1.3979
Islândia, 5, 1098.6596, 0.6990
Líbia, 15, 3295.9789, 1.1761
Honduras, 4, 878.9277, 0.6021
Chipre, 21, 4614.3705, 1.3222
Bangladesh, 4, 878.9277, 0.6021
Cazaquistão, 5, 1098.6596, 0.6990
Japão, 15, 3295.9789, 1.1761
Andorra, 6, 1318.3916, 0.7782
Fiji, 4, 878.9277, 0.6021
Barbados, 1, 219.7319, 0.0000
Guiana, 2, 439.4639, 0.3010
Haiti, 2, 439.4639, 0.3010
Espanha, 258, 56690.8372, 2.4116
Portugal, 1576, 346297.5170, 3.1976
Albânia, 5, 1098.6596, 0.6990
Senegal, 9, 1977.5873, 0.9542
Bósnia-Herzegovina, 1, 219.7319, 0.0000
Dinamarca, 25, 5493.2982, 1.3979
Antártida, 2, 439.4639, 0.3010
Hungria, 21, 4614.3705, 1.3222
Geórgia, 2, 439.4639, 0.3010
Paquistão, 9, 1977.5873, 0.9542
Nicarágua, 14, 3076.2470, 1.1461
Gâmbia, 4, 878.9277, 0.6021
Bélgica, 87, 19116.6777, 1.9395
Peru, 5, 1098.6596, 0.6990
Noruega, 16, 3515.7108, 1.2041
Macau, 2, 439.4639, 0.3010
Israel, 17, 3735.4428, 1.2304
Malásia, 7, 1538.1235, 0.8451
Gabão, 2, 439.4639, 0.3010
Egito, 13, 2856.5151, 1.1139
Guernsey, 1, 219.7319, 0.0000
Camboja, 1, 219.7319, 0.0000
Vanuatu, 2, 439.4639, 0.3010
Etiópia, 1, 219.7319, 0.0000
Malta, 9, 1977.5873, 0.9542
Afeganistão, 28, 6152.4940, 1.4472
Indonésia, 8, 1757.8554, 0.9031
Libéria, 3, 659.1958, 0.4771
Angola, 87, 19116.6777, 1.9395
México, 30, 6591.9578, 1.4771
Panamá, 2, 439.4639, 0.3010
Canadá, 110, 24170.5120, 2.0414
Tunísia, 9, 1977.5873, 0.9542
Taiwan, 1, 219.7319, 0.0000
Vaticano, 60, 13183.9156, 1.7782
Luxemburgo, 29, 6372.2259, 1.4624
Guadalupe, 4, 878.9277, 0.6021
Bulgária, 6, 1318.3916, 0.7782
Montenegro, 52, 11426.0602, 1.7160
Camarões, 5, 1098.6596, 0.6990
Tanzânia, 2, 439.4639, 0.3010
Guiné, 6, 1318.3916, 0.7782
Alemanha, 118, 25928.3674, 2.0719
Turquia, 102, 22412.6566, 2.0086
Maurício, 6, 1318.3916, 0.7782
Belize, 1, 219.7319, 0.0000
Austrália, 31, 6811.6897, 1.4914
Ucrânia, 90, 19775.8734, 1.9542
Lituânia, 12, 2636.7831, 1.0792
Moçambique, 40, 8789.2771, 1.6021
Jamaica, 1, 219.7319, 0.0000
Granada, 11, 2417.0512, 1.0414
Guiné-Bissau, 7, 1538.1235, 0.8451
Suécia, 47, 10327.4006, 1.6721
Uruguai, 4, 878.9277, 0.6021
Argélia, 6, 1318.3916, 0.7782
Marrocos, 10, 2197.3193, 1.0000
Chade, 1, 219.7319, 0.0000
Gana, 4, 878.9277, 0.6021
Jordânia, 5, 1098.6596, 0.6990
Somália, 10, 2197.3193, 1.0000
Itália, 88, 19336.4096, 1.9445
Venezuela, 16, 3515.7108, 1.2041
Bolívia, 1, 219.7319, 0.0000
Síria, 158, 34717.6445, 2.1987
Mali, 4, 878.9277, 0.6021
Nigéria, 6, 1318.3916, 0.7782
Tailândia, 5, 1098.6596, 0.6990
Filipinas, 6, 1318.3916, 0.7782
Maldivas, 4, 878.9277, 0.6021
Líbano, 6, 1318.3916, 0.7782
Cuba, 29, 6372.2259, 1.4624
Áustria, 21, 4614.3705, 1.3222
Equador, 9, 1977.5873, 0.9542
Burundi, 4, 878.9277, 0.6021
Congo, 4, 878.9277, 0.6021
Croácia, 6, 1318.3916, 0.7782
China, 62, 13623.3795, 1.7924
Irlanda, 45, 9887.9367, 1.6532
Guatemala, 4, 878.9277, 0.6021
