___________________CIDADES__________________________
| Cidade	| Total	| Freq	| Log	|
____________________________________________________
| milagres	| 3	| 5.33	| 0.48	|
| glória	| 1	| 1.78	| 0.00	|
| estreito	| 5	| 8.89	| 0.70	|
| delta	| 1	| 1.78	| 0.00	|
| oriente	| 5	| 8.89	| 0.70	|
| pintadas	| 1	| 1.78	| 0.00	|
| posse	| 118	| 209.84	| 2.07	|
| imigrante	| 6	| 10.67	| 0.78	|
| placas	| 7	| 12.45	| 0.85	|
| recreio	| 1	| 1.78	| 0.00	|
| salgado	| 1	| 1.78	| 0.00	|
| patrocínio	| 1	| 1.78	| 0.00	|
| roteiro	| 9	| 16.00	| 0.95	|
| pedra	| 8	| 14.23	| 0.90	|
| queimados	| 4	| 7.11	| 0.60	|
| mata	| 56	| 99.58	| 1.75	|
| arame	| 5	| 8.89	| 0.70	|
| ilhota	| 1	| 1.78	| 0.00	|
| nobres	| 1	| 1.78	| 0.00	|
| datas	| 8	| 14.23	| 0.90	|
| palestina	| 8	| 14.23	| 0.90	|
| barra	| 2	| 3.56	| 0.30	|
| reduto	| 11	| 19.56	| 1.04	|
| russas	| 12	| 21.34	| 1.08	|
| lajes	| 1	| 1.78	| 0.00	|
| horizonte	| 4	| 7.11	| 0.60	|
| independência	| 37	| 65.80	| 1.57	|
| sério	| 7	| 12.45	| 0.85	|
| almas	| 3	| 5.33	| 0.48	|
| bonito	| 5	| 8.89	| 0.70	|
| indiana	| 6	| 10.67	| 0.78	|
| caridade	| 14	| 24.90	| 1.15	|
| primavera	| 14	| 24.90	| 1.15	|
| jardim	| 5	| 8.89	| 0.70	|
| estância	| 2	| 3.56	| 0.30	|
| central	| 44	| 78.24	| 1.64	|
| capela	| 5	| 8.89	| 0.70	|
| farol	| 1	| 1.78	| 0.00	|
| quadra	| 1	| 1.78	| 0.00	|
| una	| 1	| 1.78	| 0.00	|
| ouro	| 8	| 14.23	| 0.90	|
| leme	| 3	| 5.33	| 0.48	|
| descoberto	| 9	| 16.00	| 0.95	|
| painel	| 6	| 10.67	| 0.78	|
