rosário|1|1.78|0.00
máxima|23|40.90|1.36
lia|1|1.78|0.00
remo|2|3.56|0.30
tiara|3|5.33|0.48
casta|1|1.78|0.00
romano|3|5.33|0.48
marco|13|23.12|1.11
flor|1|1.78|0.00
urânio|15|26.67|1.18
rosa|1|1.78|0.00
aura|1|1.78|0.00
salvação|5|8.89|0.70
liberdade|103|183.16|2.01
solene|3|5.33|0.48
felicidade|4|7.11|0.60
canto|8|14.23|0.90
dele|32|56.90|1.51
natalina|1|1.78|0.00
analisa|20|35.57|1.30
gentil|2|3.56|0.30
marcos|1|1.78|0.00
gala|2|3.56|0.30
lua|1|1.78|0.00
especiosa|1|1.78|0.00
serena|1|1.78|0.00
batista|2|3.56|0.30
africano|20|35.57|1.30
mariano|1|1.78|0.00
branca|7|12.45|0.85
libertário|5|8.89|0.70
graça|10|17.78|1.00
digna|2|3.56|0.30
bastião|3|5.33|0.48
alegria|22|39.12|1.34
máximo|36|64.02|1.56
vitória|133|236.51|2.12
clara|33|58.68|1.52
décimo|2|3.56|0.30
amado|5|8.89|0.70
piedade|2|3.56|0.30
santa|10|17.78|1.00
inocência|2|3.56|0.30
franco|5|8.89|0.70
cesária|1|1.78|0.00
consolação|1|1.78|0.00
argentino|101|179.60|2.00
sátira|1|1.78|0.00
luz|39|69.35|1.59
vital|5|8.89|0.70
feliz|15|26.67|1.18
urso|1|1.78|0.00
liberal|19|33.79|1.28
querubim|3|5.33|0.48
ida|9|16.00|0.95
domingos|4|7.11|0.60
sol|1|1.78|0.00
socorro|15|26.67|1.18
cita|13|23.12|1.11
leal|1|1.78|0.00
esperança|36|64.02|1.56
africana|12|21.34|1.08
colete|9|16.00|0.95
estrela|4|7.11|0.60
santos|1|1.78|0.00
bela|3|5.33|0.48
samaritano|1|1.78|0.00
vida|240|426.78|2.38
iria|29|51.57|1.46
alma|7|12.45|0.85
digno|2|3.56|0.30
caia|1|1.78|0.00
anunciada|26|46.23|1.41
amor|40|71.13|1.60
