Alemanha|286|508.58|2.46
Japão|74|131.59|1.87
Holanda|14|24.90|1.15
Laos|3|5.33|0.48
Mônaco|2|3.56|0.30
Bélgica|59|104.92|1.77
México|191|339.65|2.28
Israel|74|131.59|1.87
Chade|13|23.12|1.11
Jersey|6|10.67|0.78
Hungria|24|42.68|1.38
Bósnia-Herzegovina|4|7.11|0.60
Brunei|2|3.56|0.30
França|325|577.94|2.51
Etiópia|3|5.33|0.48
Sérvia|12|21.34|1.08
Malta|8|14.23|0.90
Dinamarca|31|55.13|1.49
Belize|1|1.78|0.00
Equador|50|88.91|1.70
Maurício|13|23.12|1.11
Sudão|27|48.01|1.43
Kiribati|1|1.78|0.00
Bangladesh|8|14.23|0.90
Guiné|18|32.01|1.26
Irão|1|1.78|0.00
Uganda|23|40.90|1.36
Djibuti|3|5.33|0.48
Brasil|432|768.21|2.64
Áustria|48|85.36|1.68
Jamaica|1|1.78|0.00
Jordânia|13|23.12|1.11
Malásia|21|37.34|1.32
Bulgária|1|1.78|0.00
Uruguai|42|74.69|1.62
Itália|690|1227.00|2.84
Somália|26|46.23|1.41
Irlanda|13|23.12|1.11
Albânia|2|3.56|0.30
Vietnã|18|32.01|1.26
Suécia|60|106.70|1.78
Uzbequistão|1|1.78|0.00
Níger|10|17.78|1.00
Maldivas|3|5.33|0.48
Argélia|2|3.56|0.30
Antártida|3|5.33|0.48
Ruanda|5|8.89|0.70
Omã|3|5.33|0.48
Colômbia|54|96.03|1.73
Nicarágua|15|26.67|1.18
Barbados|2|3.56|0.30
Benin|1|1.78|0.00
Suíça|47|83.58|1.67
Noruega|9|16.00|0.95
Libéria|10|17.78|1.00
Nepal|8|14.23|0.90
China|262|465.91|2.42
Luxemburgo|3|5.33|0.48
Guiana|6|10.67|0.78
Turquia|317|563.71|2.50
Vanuatu|1|1.78|0.00
Gâmbia|1|1.78|0.00
Egito|112|199.17|2.05
Índia|33|58.68|1.52
Líbano|29|51.57|1.46
Eslováquia|11|19.56|1.04
Cuba|176|312.97|2.25
Moçambique|4|7.11|0.60
Croácia|14|24.90|1.15
Iraque|227|403.67|2.36
Panamá|9|16.00|0.95
Paraguai|33|58.68|1.52
Ucrânia|31|55.13|1.49
Tunísia|27|48.01|1.43
Martinica|5|8.89|0.70
Mauritânia|5|8.89|0.70
Geórgia|6|10.67|0.78
Montenegro|17|30.23|1.23
Romênia|1|1.78|0.00
Espanha|103|183.16|2.01
Guatemala|17|30.23|1.23
Grécia|182|323.64|2.26
Austrália|30|53.35|1.48
Canadá|58|103.14|1.76
Islândia|1|1.78|0.00
Portugal|15|26.67|1.18
Cingapura|10|17.78|1.00
Congo|9|16.00|0.95
Argentina|291|517.48|2.46
Síria|626|1113.19|2.80
Líbia|129|229.40|2.11
Gabão|2|3.56|0.30
Guadalupe|12|21.34|1.08
Tailândia|16|28.45|1.20
Iêmen|59|104.92|1.77
Camarões|20|35.57|1.30
Angola|5|8.89|0.70
Peru|39|69.35|1.59
Namíbia|1|1.78|0.00
Burundi|6|10.67|0.78
Bahrein|26|46.23|1.41
Honduras|11|19.56|1.04
Camboja|3|5.33|0.48
Madagascar|1|1.78|0.00
Qatar|5|8.89|0.70
Togo|2|3.56|0.30
Bolívia|48|85.36|1.68
Tonga|1|1.78|0.00
Senegal|8|14.23|0.90
Paquistão|38|67.57|1.58
Suriname|3|5.33|0.48
Myanmar|3|5.33|0.48
Venezuela|262|465.91|2.42
Fiji|6|10.67|0.78
Afeganistão|79|140.48|1.90
Azerbaijão|1|1.78|0.00
Taiwan|59|104.92|1.77
Eslovênia|10|17.78|1.00
Quênia|42|74.69|1.62
Mali|23|40.90|1.36
Filipinas|24|42.68|1.38
Granada|1|1.78|0.00
Finlândia|2|3.56|0.30
Indonésia|31|55.13|1.49
Tadjiquistão|2|3.56|0.30
Marrocos|19|33.79|1.28
Nigéria|48|85.36|1.68
Guernsey|1|1.78|0.00
Haiti|35|62.24|1.54
Vaticano|232|412.56|2.37
Mongólia|1|1.78|0.00
Polônia|19|33.79|1.28
Gana|1|1.78|0.00
Chipre|2|3.56|0.30
Chile|25|44.46|1.40
