Santos,257,3614,136.5349,1489.6606,2.4099,7.3063
Saúde,319,1379,169.4732,568.4123,2.5038,6.3428
Liberdade,13,1133,6.9064,467.0131,1.1139,6.1464
Independência,2,819,1.0625,337.5850,0.3010,5.8218
União,81,708,43.0324,291.8317,1.9085,5.6762
Central,55,680,29.2195,280.2903,1.7404,5.6358
Campanha,12,390,6.3752,160.7547,1.0792,5.0799
Congo,10,370,5.3126,152.5109,1.0000,5.0272
Vitória,26,353,13.8129,145.5036,1.4150,4.9802
Castro,94,350,49.9388,144.2671,1.9731,4.9717
Cabo Verde,10,345,5.3126,142.2061,1.0000,4.9573
Progresso,2,345,1.0625,142.2061,0.3010,4.9573
Esperança,5,341,2.6563,140.5573,0.6990,4.9456
Luz,10,319,5.3126,131.4891,1.0000,4.8789
Cruz,116,310,61.6266,127.7794,2.0645,4.8503
Sousa,2,306,1.0625,126.1306,0.3010,4.8373
Porto,18,297,9.5628,122.4209,1.2553,4.8075
Modelo,1,274,0.5313,112.9405,0.0000,4.7269
Mendes,16,264,8.5002,108.8186,1.2041,4.6897
Posse,3,231,1.5938,95.2163,0.4771,4.5562
Viana,4,221,2.1251,91.0944,0.6021,4.5119
São Tomé,4,202,2.1251,83.2627,0.6021,4.4220
Passos,8,199,4.2501,82.0261,0.9031,4.4070
Riqueza,2,194,1.0625,79.9652,0.3010,4.3816
Gonçalves,7,173,3.7188,71.3092,0.8451,4.2670
São Paulo,647,157,343.7279,64.7141,2.8109,4.1700
Altos,2,153,1.0625,63.0653,0.3010,4.1442
Brasileira,15,142,7.9690,58.5312,1.1761,4.0696
Ouro,13,136,6.9064,56.0581,1.1139,4.0264
Passagem,1,128,0.5313,52.7605,0.0000,3.9658
Tavares,3,126,1.5938,51.9361,0.4771,3.9500
Martins,9,124,4.7814,51.1118,0.9542,3.9340
Fronteira,1,124,0.5313,51.1118,0.0000,3.9340
Oliveira,56,121,29.7508,49.8752,1.7482,3.9095
Cunha,4,116,2.1251,47.8142,0.6021,3.8673
Espírito Santo,42,111,22.3131,45.7533,1.6232,3.8233
Mata,11,109,5.8439,44.9289,1.0414,3.8051
Teixeira,32,108,17.0005,44.5167,1.5051,3.7959
Nova Iorque,10,107,5.3126,44.1045,1.0000,3.7866
Fronteiras,8,104,4.2501,42.8679,0.9031,3.7581
Bandeira,9,104,4.7814,42.8679,0.9542,3.7581
Peixe,54,104,28.6883,42.8679,1.7324,3.7581
Tesouro,10,100,5.3126,41.2192,1.0000,3.7189
Sério,2,100,1.0625,41.2192,0.3010,3.7189
Natal,57,93,30.2821,38.3338,1.7559,3.6463
Conceição,5,89,2.6563,36.6851,0.6990,3.6024
Serra,8,88,4.2501,36.2729,0.9031,3.5911
Reserva,2,86,1.0625,35.4485,0.3010,3.5681
Panamá,20,82,10.6253,33.7997,1.3010,3.5205
Tiros,2,79,1.0625,32.5631,0.3010,3.4832
Estação,10,76,5.3126,31.3266,1.0000,3.4445
Cardoso,7,75,3.7188,30.9144,0.8451,3.4312
Rio de Janeiro,978,69,519.5763,28.4412,2.9903,3.3478
Primavera,5,67,2.6563,27.6168,0.6990,3.3184
Marco,30,66,15.9379,27.2046,1.4771,3.3034
Queiroz,1,65,0.5313,26.7925,0.0000,3.2881
Aliança,4,61,2.1251,25.1437,0.6021,3.2246
Pedra,4,59,2.1251,24.3193,0.6021,3.1913
Oriente,6,57,3.1876,23.4949,0.7782,3.1568
Simões,1,55,0.5313,22.6705,0.0000,3.1211
Alegria,10,53,5.3126,21.8462,1.0000,3.0840
Fátima,6,53,3.1876,21.8462,0.7782,3.0840
Carmo,26,51,13.8129,21.0218,1.4150,3.0456
Diamante,2,51,1.0625,21.0218,0.3010,3.0456
Piedade,13,50,6.9064,20.6096,1.1139,3.0258
Feliz,2,49,1.0625,20.1974,0.3010,3.0056
Salvador,100,46,53.1264,18.9608,2.0000,2.9424
Sampaio,10,46,5.3126,18.9608,1.0000,2.9424
Capitão,4,46,2.1251,18.9608,0.6021,2.9424
Americana,19,46,10.0940,18.9608,1.2788,2.9424
Planalto,7,44,3.7188,18.1364,0.8451,2.8979
Segredo,1,43,0.5313,17.7242,0.0000,2.8749
Monteiro,17,42,9.0315,17.3120,1.2304,2.8514
Horizonte,10,42,5.3126,17.3120,1.0000,2.8514
Barcelona,205,42,108.9091,17.3120,2.3118,2.8514
Catarina,1,42,0.5313,17.3120,0.0000,2.8514
Jardim,17,41,9.0315,16.8999,1.2304,2.8273
Macau,3,41,1.5938,16.8999,0.4771,2.8273
Gaspar,1,41,0.5313,16.8999,0.0000,2.8273
Miranda,19,40,10.0940,16.4877,1.2788,2.8026
Coimbra,1,40,0.5313,16.4877,0.0000,2.8026
Barreira,1,39,0.5313,16.0755,0.0000,2.7773
Brasília,382,38,202.9429,15.6633,2.5821,2.7513
Descoberto,1,37,0.5313,15.2511,0.0000,2.7247
Coluna,1,37,0.5313,15.2511,0.0000,2.7247
Areia,4,36,2.1251,14.8389,0.6021,2.6973
Óleo,1,36,0.5313,14.8389,0.0000,2.6973
Datas,4,35,2.1251,14.4267,0.6021,2.6691
Harmonia,3,35,1.5938,14.4267,0.4771,2.6691
Bastos,11,34,5.8439,14.0145,1.0414,2.6401
Machado,7,34,3.7188,14.0145,0.8451,2.6401
Colômbia,126,33,66.9393,13.6023,2.1004,2.6102
Patrocínio,3,33,1.5938,13.6023,0.4771,2.6102
Panorama,3,33,1.5938,13.6023,0.4771,2.6102
Porto Alegre,28,31,14.8754,12.7779,1.4472,2.5477
Mendonça,2,31,1.0625,12.7779,0.3010,2.5477
Mesquita,17,30,9.0315,12.3657,1.2304,2.5149
Floresta,4,30,2.1251,12.3657,0.6021,2.5149
Rosário,3,30,1.5938,12.3657,0.4771,2.5149
Contagem,1,30,0.5313,12.3657,0.0000,2.5149
Casa Branca,145,29,77.0333,11.9536,2.1614,2.4810
Barra,102,29,54.1889,11.9536,2.0086,2.4810
Vertentes,1,29,0.5313,11.9536,0.0000,2.4810
Triunfo,1,29,0.5313,11.9536,0.0000,2.4810
Alegre,8,28,4.2501,11.5414,0.9031,2.4459
Santana,12,27,6.3752,11.1292,1.0792,2.4096
Guimarães,13,27,6.9064,11.1292,1.1139,2.4096
Prata,2,27,1.0625,11.1292,0.3010,2.4096
Fama,1,27,0.5313,11.1292,0.0000,2.4096
Torres,6,26,3.1876,10.7170,0.7782,2.3718
Estrela,6,26,3.1876,10.7170,0.7782,2.3718
Paraíso,4,26,2.1251,10.7170,0.6021,2.3718
Gouveia,2,26,1.0625,10.7170,0.3010,2.3718
Carolina,18,25,9.5628,10.3048,1.2553,2.3326
Barroso,5,25,2.6563,10.3048,0.6990,2.3326
Pinheiro,17,23,9.0315,9.4804,1.2304,2.2492
São Pedro,14,23,7.4377,9.4804,1.1461,2.2492
Vera,11,23,5.8439,9.4804,1.0414,2.2492
Cláudio,4,23,2.1251,9.4804,0.6021,2.2492
Painel,1,23,0.5313,9.4804,0.0000,2.2492
Cordeiro,2,22,1.0625,9.0682,0.3010,2.2048
Santiago,8,21,4.2501,8.6560,0.9031,2.1583
Cruzeiro,39,21,20.7193,8.6560,1.5911,2.1583
Resende,27,21,14.3441,8.6560,1.4314,2.1583
Palmas,2,21,1.0625,8.6560,0.3010,2.1583
Salto,4,20,2.1251,8.2438,0.6021,2.1095
Malta,5,20,2.6563,8.2438,0.6990,2.1095
Cristina,34,20,18.0630,8.2438,1.5315,2.1095
Aguiar,2,20,1.0625,8.2438,0.3010,2.1095
Chaves,1,20,0.5313,8.2438,0.0000,2.1095
Barreiras,1,20,0.5313,8.2438,0.0000,2.1095
Roteiro,6,19,3.1876,7.8316,0.7782,2.0582
Califórnia,48,19,25.5007,7.8316,1.6812,2.0582
Princesa,2,19,1.0625,7.8316,0.3010,2.0582
Bahia,118,18,62.6892,7.4194,2.0719,2.0041
Nobres,1,18,0.5313,7.4194,0.0000,2.0041
Sorriso,8,17,4.2501,7.0073,0.9031,1.9469
Assunção,8,17,4.2501,7.0073,0.9031,1.9469
Fortaleza,44,17,23.3756,7.0073,1.6435,1.9469
Bonito,1,17,0.5313,7.0073,0.0000,1.9469
Flores,2,16,1.0625,6.5951,0.3010,1.8863
Barbosa,19,16,10.0940,6.5951,1.2788,1.8863
Salgado,1,16,0.5313,6.5951,0.0000,1.8863
Santa Maria,6,15,3.1876,6.1829,0.7782,1.8218
Conde,5,15,2.6563,6.1829,0.6990,1.8218
Quadra,3,15,1.5938,6.1829,0.4771,1.8218
Galvão,2,15,1.0625,6.1829,0.3010,1.8218
Barras,1,15,0.5313,6.1829,0.0000,1.8218
