//--- Comparação de ocorrências lexicais entre grupos ---//
//--- Palavra | g16 (Angola) | g02 (Portugal) ---//

A                    | 11274, 5726.4471    | 0
AA                   | 2, 1.0159       | 0
AAS                  | 2, 1.0159       | 0
ABAV                 | 1, 0.5079       | 0
ABC                  | 27, 13.7142      | 0
ABCD                 | 5, 2.5397       | 0
ABERTA               | 2, 1.0159       | 0
ABERTO               | 8, 4.0635       | 0
ABIH                 | 7, 3.5555       | 0
ABL                  | 1, 0.5079       | 0
ABN                  | 1, 0.5079       | 0
ABP                  | 3, 1.5238       | 0
ABRH                 | 2, 1.0159       | 0
AC                   | 6, 3.0476       | 0
ACADEMIA             | 3, 1.5238       | 0
ACADÊMICA            | 1, 0.5079       | 0
ACC                  | 1, 0.5079       | 0
ACLU                 | 4, 2.0317       | 0
ACM                  | 6, 3.0476       | 0
ACNUR                | 2, 1.0159       | 0
ACP                  | 1, 0.5079       | 0
ACT                  | 6, 3.0476       | 0
ACUSADO              | 1, 0.5079       | 0
ADAM                 | 1, 0.5079       | 0
ADN                  | 4, 2.0317       | 0
AEB                  | 4, 2.0317       | 0
AEG                  | 6, 3.0476       | 0
AFC                  | 9, 4.5714       | 0
AFP                  | 38, 19.3015      | 0
AGU                  | 2, 1.0159       | 0
AGUIAR               | 1, 0.5079       | 0
AI                   | 5, 2.5397       | 0
AIDS                 | 5, 2.5397       | 0
AIEA                 | 1, 0.5079       | 0
AINDA                | 1, 0.5079       | 0
AK                   | 7, 3.5555       | 0
AK47                 | 2, 1.0159       | 0
AL                   | 9, 4.5714       | 0
ALBERGUES            | 1, 0.5079       | 0
ALE                  | 3, 1.5238       | 0
ALF                  | 2, 1.0159       | 0
ALOIZIO              | 1, 0.5079       | 0
ALTA                 | 1, 0.5079       | 0
ALTERNATIVAS         | 1, 0.5079       | 0
AM                   | 26, 13.2063      | 0
AMA                  | 1, 0.5079       | 0
AMB                  | 3, 1.5238       | 0
AMC                  | 1, 0.5079       | 0
AMERICA              | 1, 0.5079       | 0
AMÉRICA              | 2, 1.0159       | 0
AN                   | 10, 5.0793       | 0
ANA                  | 5, 2.5397       | 0
ANOS                 | 24, 12.1904      | 0
ANP                  | 5, 2.5397       | 0
ANS                  | 36, 18.2856      | 0
AO                   | 9, 4.5714       | 0
AOC                  | 1, 0.5079       | 0
AP                   | 13, 6.6031       | 0
APA                  | 4, 2.0317       | 0
APAs                 | 1, 0.5079       | 0
APC                  | 4, 2.0317       | 0
APCA                 | 1, 0.5079       | 0
APOSTA               | 1, 0.5079       | 0
APP                  | 2, 1.0159       | 0
APS                  | 5, 2.5397       | 0
ARG                  | 20, 10.1587      | 0
AS                   | 2, 1.0159       | 0
ASA                  | 7, 3.5555       | 0
ASEAN                | 2, 1.0159       | 0
ASI                  | 4, 2.0317       | 0
ATE                  | 4, 2.0317       | 0
ATENDIMENTO          | 2, 1.0159       | 0
ATI                  | 2, 1.0159       | 0
ATLETAS              | 1, 0.5079       | 0
ATLÉTICO             | 2, 1.0159       | 0
ATOR                 | 1, 0.5079       | 0
ATP                  | 57, 28.9522      | 0
ATRAÇÕES             | 6, 3.0476       | 0
AUS                  | 3, 1.5238       | 0
AUTORES              | 1, 0.5079       | 0
AV                   | 1, 0.5079       | 0
AVENTURAS            | 1, 0.5079       | 0
AZUL                 | 1, 0.5079       | 0
Aardman              | 1, 0.5079       | 0
Aarhus               | 3, 1.5238       | 0
Aaron                | 7, 3.5555       | 0
Aart                 | 2, 1.0159       | 0
Abacate              | 1, 0.5079       | 0
Abaeté               | 6, 3.0476       | 0
Abaixo               | 16, 8.1269       | 0
Abajur               | 1, 0.5079       | 0
Abalada              | 1, 0.5079       | 0
Abandonado           | 1, 0.5079       | 0
Abandonados          | 1, 0.5079       | 0
Abastecer            | 1, 0.5079       | 0
Abastecimento        | 9, 4.5714       | 0
Abatido              | 1, 0.5079       | 0
Abav                 | 1, 0.5079       | 0
Abbade               | 3, 1.5238       | 0
Abbey                | 3, 1.5238       | 0
Abby                 | 1, 0.5079       | 0
Abd                  | 2, 1.0159       | 0
Abdala               | 1, 0.5079       | 0
Abdel                | 33, 16.7618      | 0
Abdeslam             | 133, 67.5552      | 0
Abdi                 | 1, 0.5079       | 0
Abdul                | 4, 2.0317       | 0
Abdullah             | 6, 3.0476       | 0
Abe                  | 8, 4.0635       | 0
Abelardo             | 5, 2.5397       | 0
Abelha               | 6, 3.0476       | 0
Abert                | 3, 1.5238       | 0
Aberta               | 6, 3.0476       | 0
Abertas              | 2, 1.0159       | 0
Aberto               | 59, 29.9681      | 0
Abertos              | 1, 0.5079       | 0
Abertura             | 12, 6.0952       | 0
Abgar                | 1, 0.5079       | 0
Abi                  | 1, 0.5079       | 0
Abia                 | 2, 1.0159       | 0
Abifumo              | 1, 0.5079       | 0
Abih                 | 5, 2.5397       | 0
Abinee               | 1, 0.5079       | 0
Abiquim              | 1, 0.5079       | 0
Abismo               | 2, 1.0159       | 0
Abolição             | 4, 2.0317       | 0
Abordagem            | 1, 0.5079       | 0
Aborto               | 1, 0.5079       | 0
About                | 2, 1.0159       | 0
Abracei              | 1, 0.5079       | 0
Abrad                | 2, 1.0159       | 0
Abraham              | 1, 0.5079       | 0
Abrahão              | 13, 6.6031       | 0
Abramo               | 1, 0.5079       | 0
Abramovich           | 1, 0.5079       | 0
Abrams               | 5, 2.5397       | 0
Abrantes             | 1, 0.5079       | 0
Abrasco              | 9, 4.5714       | 0
Abravanel            | 2, 1.0159       | 0
Abraço               | 1, 0.5079       | 0
Abre                 | 8, 4.0635       | 0
Abreu                | 50, 25.3967      | 0
