de,96373,139305,171376.6969,53939.6610,4.9840,10.8956
a,54882,101084,97594.7193,39140.2799,4.7394,10.5749
que,41204,79803,73271.6157,30900.1598,4.6149,10.3385
o,50073,78612,89043.0447,30438.9981,4.6996,10.3235
e,51812,73869,92135.4469,28602.4825,4.7144,10.2612
do,38259,52268,68034.6264,20238.4566,4.5827,9.9153
da,32501,47299,57795.3786,18314.4325,4.5119,9.8154
em,31306,36989,55670.3524,14322.3439,4.4956,9.5696
para,21663,31502,38522.5466,12197.7474,4.3357,9.4090
os,14694,28464,26129.8204,11021.4171,4.1671,9.3076
com,19419,23902,34532.1208,9254.9857,4.2882,9.1329
no,18754,23459,33349.5748,9083.4536,4.2731,9.1142
é,12188,23003,21673.4893,8906.8879,4.0859,9.0946
não,9263,22348,16472.0652,8653.2683,3.9668,9.0657
um,15804,22214,28103.6942,8601.3828,4.1988,9.0597
dos,10233,22070,18196.9819,8545.6252,4.0100,9.0532
na,15989,19459,28432.6731,7534.6317,4.2038,8.9273
uma,13627,19251,24232.4121,7454.0929,4.1344,8.9165
as,9755,17682,17346.9714,6846.5675,3.9892,8.8315
por,10448,17105,18579.3088,6623.1499,4.0190,8.7983
se,8274,15745,14713.3615,6096.5505,3.9177,8.7155
como,6781,12563,12058.4124,4864.4626,3.8313,8.4897
ao,7525,12167,13381.4413,4711.1292,3.8765,8.4577
mais,8143,11941,14480.4089,4623.6208,3.9108,8.4389
das,7008,11569,12462.0785,4479.5803,3.8456,8.4073
à,5730,11373,10189.4563,4403.6881,3.7582,8.3902
data,264,9498,469.4619,3677.6778,2.4216,8.2100
mas,3607,7870,6414.2005,3047.3072,3.5571,8.0220
foi,6903,7082,12275.3607,2742.1893,3.8390,7.9165
ser,4004,7037,7120.1716,2724.7650,3.6025,7.9101
ou,2934,6816,5217.4284,2639.1926,3.4675,7.8782
país,2892,6646,5142.7413,2573.3677,3.4612,7.8530
tem,3101,6137,5514.3986,2376.2801,3.4915,7.7733
pelo,4960,5961,8820.1926,2308.1319,3.6955,7.7442
está,3228,5747,5740.2382,2225.2700,3.5089,7.7076
são,2852,5691,5071.6107,2203.5865,3.4551,7.6978
já,3384,5657,6017.6475,2190.4215,3.5294,7.6918
também,4126,5602,7337.1199,2169.1252,3.6155,7.6821
nos,3209,5453,5706.4512,2111.4315,3.5064,7.6551
sua,3461,5431,6154.5739,2102.9130,3.5392,7.6511
nacional,420,5343,746.8711,2068.8389,2.6232,7.6347
pela,4554,5133,8098.2171,1987.5258,3.6584,7.5946
anos,4474,5089,7955.9559,1970.4887,3.6507,7.5860
há,1751,4973,3113.7414,1925.5729,3.2433,7.5630
presidente,2286,4815,4065.1129,1864.3944,3.3591,7.5307
entre,3949,4710,7022.3670,1823.7379,3.5965,7.5086
ainda,2871,4623,5105.3977,1790.0510,3.4580,7.4900
seu,2744,4497,4879.5581,1741.2631,3.4384,7.4624
estado,1042,4453,1852.9517,1724.2261,3.0179,7.4525
nas,2481,4261,4411.8745,1649.8826,3.3946,7.4085
sobre,3257,4226,5791.8079,1636.3304,3.5128,7.4002
aos,2485,4195,4418.9876,1624.3270,3.3953,7.3928
milhões,1421,4047,2526.9140,1567.0206,3.1526,7.3569
ter,2195,3936,3903.2909,1524.0408,3.3414,7.3291
isso,1589,3788,2825.6625,1466.7344,3.2011,7.2908
santos,9,3787,16.0044,1466.3472,0.9542,7.2905
disse,3387,3770,6022.9823,1459.7647,3.5298,7.2860
porque,1169,3595,2078.7913,1392.0037,3.0678,7.2385
muito,2382,3585,4235.8263,1388.1317,3.3769,7.2357
governo,1878,3553,3339.5810,1375.7411,3.2737,7.2267
mesmo,1400,3519,2489.5705,1362.5761,3.1461,7.2171
todos,1441,3509,2562.4793,1358.7041,3.1587,7.2143
este,682,3460,1212.7765,1339.7310,2.8338,7.2002
até,2635,3402,4685.7273,1317.2731,3.4208,7.1833
hoje,1521,3276,2704.7405,1268.4852,3.1821,7.1456
quando,1717,3254,3053.2804,1259.9667,3.2348,7.1388
segundo,1562,3207,2777.6493,1241.7680,3.1937,7.1243
ano,3172,3116,5640.6554,1206.5323,3.5013,7.0955
estão,2047,3109,3640.1077,1203.8219,3.3111,7.0933
só,1065,3033,1893.8518,1174.3943,3.0273,7.0685
esta,354,3004,629.5057,1163.1653,2.5490,7.0589
às,7840,2990,13941.5947,1157.7444,3.8943,7.0542
pessoas,3044,2971,5413.0375,1150.3875,3.4834,7.0479
vai,1634,2937,2905.6844,1137.2225,3.2133,7.0363
foram,3160,2920,5619.3162,1130.6400,3.4997,7.0305
sem,1411,2892,2509.1314,1119.7983,3.1495,7.0209
angolano,2,2882,3.5565,1115.9262,0.3010,7.0174
depois,1142,2856,2030.7782,1105.8589,3.0577,7.0084
dia,3172,2850,5640.6554,1103.5357,3.5013,7.0063
regime,244,2765,433.8966,1070.6232,2.3874,6.9760
poder,489,2761,869.5714,1069.0744,2.6893,6.9745
