Angola,12,10211,6.3752,4210.7477,1.0792,8.3454
Portugal,58,2219,30.8133,915.0572,1.7634,6.8190
Moçambique,30,713,15.9379,294.0224,1.4771,5.6837
Brasil,1927,663,1023.7459,273.4038,3.2849,5.6109
China,310,589,164.6919,242.8881,2.4914,5.4926
Estados Unidos,997,362,529.6703,149.2793,2.9987,5.0058
África do Sul,29,282,15.4067,116.2894,1.4624,4.7561
Cuba,415,247,220.4746,101.8563,2.6180,4.6236
Espanha,143,231,75.9708,95.2583,2.1553,4.5566
França,358,227,190.1925,93.6088,2.5539,4.5391
Nigéria,31,208,16.4692,85.7737,1.4914,4.4517
Síria,460,203,244.3815,83.7119,2.6628,4.4274
Guiné Equatorial,5,202,2.6563,83.2995,0.6990,4.4224
Alemanha,296,165,157.2542,68.0417,2.4713,4.2201
Arábia Saudita,31,146,16.4692,60.2066,1.4914,4.0978
Iraque,191,140,101.4714,57.7323,2.2810,4.0558
Namíbia,1,133,0.5313,54.8457,0.0000,4.0045
Líbia,155,124,82.3459,51.1343,2.1903,3.9345
Sudão,3,120,1.5938,49.4848,0.4771,3.9017
Turquia,344,119,182.7548,49.0725,2.5366,3.8933
Itália,790,114,419.6986,47.0106,2.8976,3.8504
Guiné,19,102,10.0940,42.0621,1.2788,3.7391
Japão,122,92,64.8142,37.9384,2.0864,3.6360
Tunísia,16,85,8.5002,35.0518,1.2041,3.5568
Suíça,85,83,45.1574,34.2270,1.9294,3.5330
Panamá,20,82,10.6253,33.8146,1.3010,3.5209
Gabão,1,75,0.5313,30.9280,0.0000,3.4317
Gana,4,73,2.1251,30.1033,0.6021,3.4046
Argentina,402,71,213.5682,29.2785,2.6042,3.3769
Bélgica,181,70,96.1588,28.8662,2.2577,3.3627
Senegal,16,70,8.5002,28.8662,1.2041,3.3627
Marrocos,7,70,3.7188,28.8662,0.8451,3.3627
Canadá,70,69,37.1885,28.4538,1.8451,3.3483
Venezuela,198,62,105.1903,25.5672,2.2967,3.2413
Argélia,4,58,2.1251,23.9177,0.6021,3.1746
Hong Kong,26,58,13.8129,23.9177,1.4150,3.1746
Somália,14,55,7.4377,22.6806,1.1461,3.1215
Camarões,4,54,2.1251,22.2682,0.6021,3.1032
Ruanda,2,53,1.0625,21.8558,0.3010,3.0845
Índia,58,51,30.8133,21.0311,1.7634,3.0460
Austrália,90,50,47.8138,20.6187,1.9542,3.0262
México,255,50,135.4723,20.6187,2.4065,3.0262
Etiópia,10,49,5.3126,20.2063,1.0000,3.0060
Israel,47,49,24.9694,20.2063,1.6721,3.0060
Costa do Marfim,25,49,13.2816,20.2063,1.3979,3.0060
Tanzânia,1,49,0.5313,20.2063,0.0000,3.0060
Mali,13,48,6.9064,19.7939,1.1139,2.9854
Libéria,8,48,4.2501,19.7939,0.9031,2.9854
Ucrânia,34,45,18.0630,18.5568,1.5315,2.9208
Grécia,280,43,148.7539,17.7321,2.4472,2.8754
Uganda,22,41,11.6878,16.9073,1.3424,2.8277
Macau,3,41,1.5938,16.9073,0.4771,2.8277
Chade,1,39,0.5313,16.0826,0.0000,2.7777
Colômbia,126,33,66.9393,13.6083,2.1004,2.6107
Indonésia,13,31,6.9064,12.7836,1.1139,2.5482
Afeganistão,47,30,24.9694,12.3712,1.6721,2.5154
Noruega,4,29,2.1251,11.9588,0.6021,2.4815
Vaticano,208,27,110.5029,11.1341,2.3181,2.4100
Paquistão,19,25,10.0940,10.3093,1.2788,2.3331
Chile,79,24,41.9699,9.8970,1.8976,2.2922
Líbano,28,24,14.8754,9.8970,1.4472,2.2922
Áustria,80,23,42.5011,9.4846,1.9031,2.2497
Níger,6,23,3.1876,9.4846,0.7782,2.2497
Lituânia,6,23,3.1876,9.4846,0.7782,2.2497
Luxemburgo,6,21,3.1876,8.6598,0.7782,2.1587
Malta,5,20,2.6563,8.2475,0.6990,2.1099
Chipre,3,18,1.5938,7.4227,0.4771,2.0045
Togo,1,18,0.5313,7.4227,0.0000,2.0045
Finlândia,11,17,5.8439,7.0104,1.0414,1.9474
Sérvia,31,17,16.4692,7.0104,1.4914,1.9474
Suécia,52,16,27.6257,6.5980,1.7160,1.8868
Hungria,43,15,22.8444,6.1856,1.6335,1.8222
Peru,64,14,34.0009,5.7732,1.8062,1.7532
Filipinas,24,14,12.7503,5.7732,1.3802,1.7532
Equador,64,13,34.0009,5.3609,1.8062,1.6791
Montenegro,2,13,1.0625,5.3609,0.3010,1.6791
Islândia,2,13,1.0625,5.3609,0.3010,1.6791
Dinamarca,25,12,13.2816,4.9485,1.3979,1.5991
Malásia,18,11,9.5628,4.5361,1.2553,1.5121
Geórgia,5,11,2.6563,4.5361,0.6990,1.5121
Mauritânia,2,11,1.0625,4.5361,0.3010,1.5121
Nova Zelândia,10,10,5.3126,4.1237,1.0000,1.4168
Uruguai,88,10,46.7512,4.1237,1.9445,1.4168
Haiti,45,10,23.9069,4.1237,1.6532,1.4168
Azerbaijão,5,10,2.6563,4.1237,0.6990,1.4168
Timor Leste,2,10,1.0625,4.1237,0.3010,1.4168
Jordânia,19,9,10.0940,3.7114,1.2788,1.3114
Taiwan,42,8,22.3131,3.2990,1.6232,1.1936
Croácia,25,8,13.2816,3.2990,1.3979,1.1936
Costa Rica,16,7,8.5002,2.8866,1.2041,1.0601
República Dominicana,14,7,7.4377,2.8866,1.1461,1.0601
Porto Rico,25,7,13.2816,2.8866,1.3979,1.0601
Tailândia,27,6,14.3441,2.4742,1.4314,0.9059
Irlanda,11,5,5.8439,2.0619,1.0414,0.7236
Camboja,4,5,2.1251,2.0619,0.6021,0.7236
Mongólia,1,5,0.5313,2.0619,0.0000,0.7236
Paraguai,73,4,38.7823,1.6495,1.8633,0.5005
Cazaquistão,6,4,3.1876,1.6495,0.7782,0.5005
Sri Lanka,4,4,2.1251,1.6495,0.6021,0.5005
Nepal,4,4,2.1251,1.6495,0.6021,0.5005
Jamaica,8,3,4.2501,1.2371,0.9031,0.2128
Bulgária,4,3,2.1251,1.2371,0.6021,0.2128
Honduras,19,3,10.0940,1.2371,1.2788,0.2128
Granada,3,3,1.5938,1.2371,0.4771,0.2128
Eslováquia,12,2,6.3752,0.8247,1.0792,-0.1927
Bolívia,84,2,44.6262,0.8247,1.9243,-0.1927
Andorra,4,2,2.1251,0.8247,0.6021,-0.1927
Laos,3,2,1.5938,0.8247,0.4771,-0.1927
Nicarágua,14,1,7.4377,0.4124,1.1461,-0.8858
Albânia,8,1,4.2501,0.4124,0.9031,-0.8858
Brunei,2,1,1.0625,0.4124,0.3010,-0.8858
Total de Cidades em Comum entre os dois Grupos: 111

