Zé Gomes, 1, 1.2246, 0.0000
Evandro, 11, 13.4703, 1.0414
Pedro Francisco, 1, 1.2246, 0.0000
Pedro Afonso, 1, 1.2246, 0.0000
André Tavares, 1, 1.2246, 0.0000
Jaime Pacheco, 4, 4.8983, 0.6021
Carla Soares, 9, 11.0212, 0.9542
Eduardo Pinto, 2, 2.4492, 0.3010
Jorge Pinto, 2, 2.4492, 0.3010
Diogo Leite, 1, 1.2246, 0.0000
Paulo Jorge, 1, 1.2246, 0.0000
Sérgio Antunes, 1, 1.2246, 0.0000
Luís do Nascimento, 2, 2.4492, 0.3010
Ricardo Filipe, 2, 2.4492, 0.3010
Raul José, 1, 1.2246, 0.0000
Nuno Diogo, 1, 1.2246, 0.0000
José António Soares, 2, 2.4492, 0.3010
David Simão, 1, 1.2246, 0.0000
Tiago Henriques, 2, 2.4492, 0.3010
Wilson, 2, 2.4492, 0.3010
Henrique Neto, 2, 2.4492, 0.3010
Alex, 18, 22.0424, 1.2553
Gustavo Paulo Duarte, 3, 3.6737, 0.4771
Paiva, 2, 2.4492, 0.3010
Rui Tavares, 3, 3.6737, 0.4771
Albano Lourenço, 3, 3.6737, 0.4771
José Pedro Gomes, 10, 12.2458, 1.0000
Rodrigo António, 3, 3.6737, 0.4771
Isabel, 9, 11.0212, 0.9542
Afonso Henriques, 5, 6.1229, 0.6990
Diogo, 5, 6.1229, 0.6990
Rui Pinto, 1, 1.2246, 0.0000
Gustavo Rodrigues, 1, 1.2246, 0.0000
Ricardo Tavares, 3, 3.6737, 0.4771
Rita Amaro, 1, 1.2246, 0.0000
Paulo Sérgio, 1, 1.2246, 0.0000
Bruno António, 2, 2.4492, 0.3010
Andrea, 5, 6.1229, 0.6990
Anjos, 1, 1.2246, 0.0000
António Rodrigues, 1, 1.2246, 0.0000
Carla Bernardino, 3, 3.6737, 0.4771
João Afonso, 5, 6.1229, 0.6990
Tito Rodrigues, 1, 1.2246, 0.0000
Tito, 1, 1.2246, 0.0000
Jerónimo, 11, 13.4703, 1.0414
Alice, 3, 3.6737, 0.4771
Juno, 1, 1.2246, 0.0000
Diana, 8, 9.7966, 0.9031
Maria Leonor, 1, 1.2246, 0.0000
Juliana, 1, 1.2246, 0.0000
Ricardo Gomes, 1, 1.2246, 0.0000
Ana, 1, 1.2246, 0.0000
José Rodrigues, 1, 1.2246, 0.0000
João Nuno Coelho, 2, 2.4492, 0.3010
Miguel Tiago, 2, 2.4492, 0.3010
António Borges, 5, 6.1229, 0.6990
Jorge Pacheco, 2, 2.4492, 0.3010
Luciana Leite, 1, 1.2246, 0.0000
José Júlio Paiva, 1, 1.2246, 0.0000
Emília, 3, 3.6737, 0.4771
André Gomes, 2, 2.4492, 0.3010
João Domingues, 4, 4.8983, 0.6021
Kelly, 2, 2.4492, 0.3010
Pedro, 6, 7.3475, 0.7782
Miguel Baptista, 1, 1.2246, 0.0000
Alexandre, 2, 2.4492, 0.3010
Hélder Cristóvão, 1, 1.2246, 0.0000
Clara, 3, 3.6737, 0.4771
Cícero, 2, 2.4492, 0.3010
Eduardo Lourenço, 1, 1.2246, 0.0000
Lurdes, 1, 1.2246, 0.0000
Carlota, 1, 1.2246, 0.0000
Baldomero Coelho, 2, 2.4492, 0.3010
Paulo Duarte, 4, 4.8983, 0.6021
Jorge Jesus, 63, 77.1483, 1.7993
Paulo Antunes, 1, 1.2246, 0.0000
João Francisco, 1, 1.2246, 0.0000
Luís Máximo, 2, 2.4492, 0.3010
Paulo Henrique, 1, 1.2246, 0.0000
André Henriques, 1, 1.2246, 0.0000
Fabiano Soares, 2, 2.4492, 0.3010
João Pedro Rodrigues, 2, 2.4492, 0.3010
Rita, 7, 8.5720, 0.8451
Carla Tavares, 2, 2.4492, 0.3010
Anabela Rodrigues, 16, 19.5932, 1.2041
Adélia, 2, 2.4492, 0.3010
Liberdade, 4, 4.8983, 0.6021
Leo, 3, 3.6737, 0.4771
José Sócrates, 68, 83.2712, 1.8325
Sena, 1, 1.2246, 0.0000
Alex Sandro, 1, 1.2246, 0.0000
Caetano, 1, 1.2246, 0.0000
Pedro Caetano, 1, 1.2246, 0.0000
Cássio, 4, 4.8983, 0.6021
Paulo Albano, 1, 1.2246, 0.0000
Pedro Pinto, 9, 11.0212, 0.9542
Andreia Soares, 1, 1.2246, 0.0000
Duarte Pacheco, 3, 3.6737, 0.4771
Maria Luís, 1, 1.2246, 0.0000
Nuno, 24, 29.3898, 1.3802
Laura, 1, 1.2246, 0.0000
Samir, 1, 1.2246, 0.0000
Sara Gomes, 1, 1.2246, 0.0000
Valéria, 3, 3.6737, 0.4771
Máxima, 4, 4.8983, 0.6021
América, 9, 11.0212, 0.9542
Filinto Lima, 7, 8.5720, 0.8451
Alberto, 2, 2.4492, 0.3010
Ana Jorge, 1, 1.2246, 0.0000
Fábio Veríssimo, 3, 3.6737, 0.4771
Pedro Filipe Soares, 4, 4.8983, 0.6021
Carlos do Paulo, 2, 2.4492, 0.3010
Mário Soares, 5, 6.1229, 0.6990
Marina, 7, 8.5720, 0.8451
Rui David, 1, 1.2246, 0.0000
Acácio Valentim, 1, 1.2246, 0.0000
João Mário, 15, 18.3686, 1.1761
Marcelo, 15, 18.3686, 1.1761
Diego Carlos, 2, 2.4492, 0.3010
Rui Domingues, 1, 1.2246, 0.0000
Catarina, 3, 3.6737, 0.4771
Jorge Tomé, 2, 2.4492, 0.3010
Susana, 7, 8.5720, 0.8451
Rui Paula, 5, 6.1229, 0.6990
Carolina Henriques, 2, 2.4492, 0.3010
Tiago Rodrigues, 1, 1.2246, 0.0000
Armando Jorge, 1, 1.2246, 0.0000
António, 6, 7.3475, 0.7782
Diego Amador, 1, 1.2246, 0.0000
Jaime Antunes, 4, 4.8983, 0.6021
Rui Patrício, 11, 13.4703, 1.0414
Ana Rita, 1, 1.2246, 0.0000
Anselmo, 1, 1.2246, 0.0000
Zara, 1, 1.2246, 0.0000
Gil Vicente, 11, 13.4703, 1.0414
Paulo Raimundo, 2, 2.4492, 0.3010
Evaldo, 1, 1.2246, 0.0000
Regina Lourenço, 2, 2.4492, 0.3010
Sónia Marisa Lima, 1, 1.2246, 0.0000
Duarte, 1, 1.2246, 0.0000
Pedro Ricardo, 1, 1.2246, 0.0000
Lusa, 484, 592.6949, 2.6848
Carlos, 7, 8.5720, 0.8451
Filipa, 1, 1.2246, 0.0000
Luís Henrique, 2, 2.4492, 0.3010
Paulo Lourenço, 10, 12.2458, 1.0000
Estrela, 8, 9.7966, 0.9031
Zé Manel, 1, 1.2246, 0.0000
Lusa Carlos Neto, 1, 1.2246, 0.0000
Edite Estrela, 2, 2.4492, 0.3010
Ariane, 1, 1.2246, 0.0000
Carolina, 2, 2.4492, 0.3010
Nuno Gomes, 10, 12.2458, 1.0000
Rúben, 1, 1.2246, 0.0000
Mário Pedro Caetano, 1, 1.2246, 0.0000
Rosana, 2, 2.4492, 0.3010
Valter Lucas, 1, 1.2246, 0.0000
Miguel, 5, 6.1229, 0.6990
Filipe Diogo, 3, 3.6737, 0.4771
Filipe, 2, 2.4492, 0.3010
Heloísa, 1, 1.2246, 0.0000
Carlos Tavares, 18, 22.0424, 1.2553
Joana Ferrer, 2, 2.4492, 0.3010
Sim, 13, 15.9195, 1.1139
Carminho, 1, 1.2246, 0.0000
Luís, 7, 8.5720, 0.8451
João, 10, 12.2458, 1.0000
Catarino, 2, 2.4492, 0.3010
Tânia, 3, 3.6737, 0.4771
Pinto, 5, 6.1229, 0.6990
Ana Sofia, 5, 6.1229, 0.6990
Hugo Andrade, 1, 1.2246, 0.0000
João Rodrigues, 1, 1.2246, 0.0000
Sócrates, 28, 34.2881, 1.4472
José Herculano, 1, 1.2246, 0.0000
Francisco Pedro, 1, 1.2246, 0.0000
Cândido, 2, 2.4492, 0.3010
Emídio Guerreiro, 1, 1.2246, 0.0000
Eduardo Jesus, 1, 1.2246, 0.0000
Luna, 2, 2.4492, 0.3010
José Angel, 2, 2.4492, 0.3010
Daniel Sebastião, 2, 2.4492, 0.3010
Hugo Miguel, 4, 4.8983, 0.6021
Cláudia, 3, 3.6737, 0.4771
Alberta, 2, 2.4492, 0.3010
Sónia, 4, 4.8983, 0.6021
António Soares, 3, 3.6737, 0.4771
Delfim, 1, 1.2246, 0.0000
Zé, 1, 1.2246, 0.0000
Aristóteles, 1, 1.2246, 0.0000
André Micael, 2, 2.4492, 0.3010
Amaro, 5, 6.1229, 0.6990
David Jorge, 3, 3.6737, 0.4771
Maria Antónia, 1, 1.2246, 0.0000
Ana Paula Rodrigues, 1, 1.2246, 0.0000
Diogo Amado, 1, 1.2246, 0.0000
Rui, 4, 4.8983, 0.6021
Artur, 1, 1.2246, 0.0000
Maria Inês, 2, 2.4492, 0.3010
Infante, 2, 2.4492, 0.3010
Francisco, 61, 74.6992, 1.7853
