de,23771,48301.8853,4.3760
que,14388,29235.9398,4.1580
da,8948,18182.0399,3.9517
do,7789,15826.9902,3.8915
para,6104,12403.1260,3.7856
em,5761,11706.1613,3.7605
os,4618,9383.6232,3.6645
com,3973,8073.0045,3.5991
na,3795,7711.3144,3.5792
um,3790,7701.1546,3.5786
no,3646,7408.5513,3.5618
uma,3237,6577.4769,3.5101
dos,3143,6386.4720,3.4973
não,3085,6268.6179,3.4893
as,3050,6197.4991,3.4843
se,2858,5807.3614,3.4561
por,2613,5309.5295,3.4171
como,2122,4311.8338,3.3267
das,2094,4254.9387,3.3210
ao,1996,4055.8059,3.3002
mais,1721,3497.0150,3.2358
país,1376,2795.9865,3.1386
sua,1329,2700.4840,3.1235
foi,1281,2602.9496,3.1075
ser,1163,2363.1775,3.0656
seu,1115,2265.6431,3.0473
nos,1106,2247.3554,3.0438
pelo,999,2029.9349,2.9996
ou,976,1983.1997,2.9894
mas,975,1981.1677,2.9890
pela,927,1883.6333,2.9671
entre,917,1863.3137,2.9624
anos,896,1820.6423,2.9523
aos,819,1664.1809,2.9133
sobre,812,1649.9571,2.9096
também,803,1631.6694,2.9047
são,793,1611.3498,2.8993
tem,789,1603.2219,2.8971
disse,769,1562.5825,2.8859
está,762,1548.3588,2.8820
nas,751,1526.0071,2.8756
ainda,750,1523.9752,2.8751
já,676,1373.6096,2.8299
todos,649,1318.7465,2.8122
seus,636,1292.3310,2.8035
mesmo,626,1272.0113,2.7966
porque,616,1251.6916,2.7896
onde,584,1186.6687,2.7664
ano,577,1172.4449,2.7612
há,575,1168.3810,2.7597
este,570,1158.2211,2.7559
pessoas,563,1143.9974,2.7505
nacional,559,1135.8695,2.7474
ter,554,1125.7097,2.7435
dia,546,1109.4539,2.7372
outros,545,1107.4220,2.7364
muito,525,1066.7826,2.7202
sem,519,1054.5908,2.7152
até,517,1050.5269,2.7135
paz,511,1038.3351,2.7084
desenvolvimento,510,1036.3031,2.7076
quando,495,1005.8236,2.6946
foram,493,1001.7597,2.6928
Governo,489,993.6318,2.6893
esta,474,963.1523,2.6758
nossa,471,957.0564,2.6730
vez,463,940.8007,2.6656
vida,455,924.5449,2.6580
depois,454,922.5130,2.6571
cidade,451,916.4171,2.6542
isso,450,914.3851,2.6532
suas,449,912.3531,2.6522
fazer,442,898.1294,2.6454
moçambicanos,439,892.0335,2.6425
forma,436,885.9376,2.6395
só,433,879.8417,2.6365
num,431,875.7777,2.6345
vai,431,875.7777,2.6345
parte,429,871.7138,2.6325
dois,427,867.6499,2.6304
Os,425,863.5859,2.6284
era,413,839.2023,2.6160
nosso,413,839.2023,2.6160
estão,412,837.1704,2.6149
segundo,410,833.1064,2.6128
pode,406,824.9786,2.6085
bem,401,814.8187,2.6031
trabalho,396,804.6589,2.5977
Presidente,391,794.4991,2.5922
hoje,390,792.4671,2.5911
ontem,390,792.4671,2.5911
província,387,786.3712,2.5877
numa,381,774.1794,2.5809
Para,375,761.9876,2.5740
Estado,370,751.8278,2.5682
cada,366,743.6999,2.5635
Em,366,743.6999,2.5635
países,358,727.4442,2.5539
assim,348,707.1245,2.5416
maior,345,701.0286,2.5378
independência,344,698.9966,2.5366
Na,341,692.9007,2.5328
pois,341,692.9007,2.5328
outro,337,684.7728,2.5276
República,335,680.7089,2.5250
Nacional,335,680.7089,2.5250
tempo,333,676.6450,2.5224
No,333,676.6450,2.5224
outras,333,676.6450,2.5224
alguns,331,672.5810,2.5198
deste,330,670.5491,2.5185
têm,329,668.5171,2.5172
milhões,322,654.2933,2.5079
tudo,321,652.2614,2.5065
grande,319,648.1974,2.5038
durante,319,648.1974,2.5038
ele,315,640.0696,2.4983
Não,310,629.9097,2.4914
momento,306,621.7819,2.4857
Renamo,304,617.7179,2.4829
sempre,301,611.6220,2.4786
contra,299,607.5581,2.4757
