Alto Zambeze,2,0.8241,-0.1935
Ambaca,1,0.4120,-0.8866
Amboim,18,7.4169,2.0038
Ambriz,10,4.1205,1.4160
Ambuíla,2,0.8241,-0.1935
Andulo,22,9.0651,2.2044
Bailundo,31,12.7735,2.5474
Balombo,8,3.2964,1.1928
Banga,4,1.6482,0.4997
Baía Farta,14,5.7687,1.7524
Belas,83,34.2001,3.5322
Belize,6,2.4723,0.9051
Bembe,51,21.0145,3.0452
Bengo,120,49.4460,3.9009
Benguela,485,199.8441,5.2975
Bibala,3,1.2361,0.2120
Bié,138,56.8629,4.0406
Bocoio,4,1.6482,0.4997
Bolongongo,1,0.4120,-0.8866
Buco-Zau,3,1.2361,0.2120
Bundas,1,0.4120,-0.8866
Bungo,6,2.4723,0.9051
Cabinda,1175,484.1583,6.1824
Cacolo,2,0.8241,-0.1935
Cacongo,11,4.5325,1.5113
Cacuaco,91,37.4965,3.6242
Cacuso,1,0.4120,-0.8866
Cahama,4,1.6482,0.4997
Caimbambo,6,2.4723,0.9051
Calai,4,1.6482,0.4997
Calandula,1,0.4120,-0.8866
Caluquembe,4,1.6482,0.4997
Camacupa,11,4.5325,1.5113
Camanongue,4,1.6482,0.4997
Cambambe,35,14.4217,2.6687
Cambulo,1,0.4120,-0.8866
Cangandala,11,4.5325,1.5113
Capenda Camulemba,6,2.4723,0.9051
Cassongue,7,2.8843,1.0593
Catabola,2,0.8241,-0.1935
Catchiungo,1,0.4120,-0.8866
Catumbela,28,11.5374,2.4456
Caungula,2,0.8241,-0.1935
Caxito,8,3.2964,1.1928
Cazenga,118,48.6219,3.8841
Cazengo,2,0.8241,-0.1935
Caála,187,77.0533,4.3445
Chiange,2,0.8241,-0.1935
Chibia,5,2.0602,0.7228
Chicomba,8,3.2964,1.1928
Chinguar,6,2.4723,0.9051
Chipindo,2,0.8241,-0.1935
Chitato,4,1.6482,0.4997
Chitembo,5,2.0602,0.7228
Chongoroi,2,0.8241,-0.1935
Conda,2,0.8241,-0.1935
Cuando Cubango,95,39.1447,3.6673
Cuangar,8,3.2964,1.1928
Cuango,25,10.3012,2.3323
Cuanhama,5,2.0602,0.7228
Cuanza Norte,52,21.4266,3.0646
Cuanza Sul,65,26.7832,3.2878
Cubal,17,7.0048,1.9466
Cuchi,17,7.0048,1.9466
Cuemba,3,1.2361,0.2120
Cuimba,9,3.7084,1.3106
Cuito,27,11.1253,2.4092
Cuito Cuanavale,37,15.2458,2.7243
Cunene,153,63.0436,4.1438
Cunhinga,14,5.7687,1.7524
Curoca,9,3.7084,1.3106
Cuvango,3,1.2361,0.2120
Cuvelai,6,2.4723,0.9051
Dala,98,40.3809,3.6984
Damba,8,3.2964,1.1928
Dande,4,1.6482,0.4997
Dembos,1,0.4120,-0.8866
Dirico,3,1.2361,0.2120
Dundo,38,15.6579,2.7510
Ebo,1,0.4120,-0.8866
Ganda,13,5.3566,1.6783
Golungo Alto,11,4.5325,1.5113
Huambo,627,258.3551,5.5543
Humpata,6,2.4723,0.9051
Huíla,325,133.9161,4.8972
Jamba,42,17.3061,2.8511
Libolo,263,108.3691,4.6855
Lobito,247,101.7763,4.6228
Londuimbale,2,0.8241,-0.1935
Longa,111,45.7375,3.8229
Longonjo,6,2.4723,0.9051
Luacano,2,0.8241,-0.1935
Luanda,4394,1810.5462,7.5014
Luau,14,5.7687,1.7524
Lubalo,2,0.8241,-0.1935
Lubango,225,92.7112,4.5295
Lucala,6,2.4723,0.9051
Lucapa,22,9.0651,2.2044
Luena,35,14.4217,2.6687
Lunda Norte,96,39.5568,3.6777
Lunda Sul,137,56.4508,4.0334
Luquembo,2,0.8241,-0.1935
Léua,1,0.4120,-0.8866
Malanje,140,57.6870,4.0550
Marimba,2,0.8241,-0.1935
Massango,14,5.7687,1.7524
Matala,17,7.0048,1.9466
Mavinga,14,5.7687,1.7524
Mbanza Congo,48,19.7784,2.9846
Menongue,67,27.6073,3.3181
Milunga,1,0.4120,-0.8866
Moxico,130,53.5665,3.9809
Mucaba,2,0.8241,-0.1935
Mungo,4,1.6482,0.4997
Mussende,3,1.2361,0.2120
Namacunde,12,4.9446,1.5983
Nambuangongo,12,4.9446,1.5983
Namibe,205,84.4702,4.4364
Nancova,4,1.6482,0.4997
Ndalatando,30,12.3615,2.5146
Negage,8,3.2964,1.1928
Nharea,4,1.6482,0.4997
Nzeto,42,17.3061,2.8511
Ombadja,4,1.6482,0.4997
Ondjiva,14,5.7687,1.7524
Porto Amboim,18,7.4169,2.0038
Puri,4,1.6482,0.4997
Quibala,10,4.1205,1.4160
Quiculungo,1,0.4120,-0.8866
Quilenda,1,0.4120,-0.8866
Quilengues,6,2.4723,0.9051
Quimbele,2,0.8241,-0.1935
Quipungo,4,1.6482,0.4997
Quitexe,4,1.6482,0.4997
Quiçama,13,5.3566,1.6783
Rivungo,2,0.8241,-0.1935
Samba Caju,3,1.2361,0.2120
Sanza Pombo,4,1.6482,0.4997
Saurimo,44,18.1302,2.8976
Seles,4,1.6482,0.4997
Songo,5,2.0602,0.7228
Soyo,101,41.6170,3.7285
Sumbe,45,18.5422,2.9201
Tomboco,18,7.4169,2.0038
Tômbua,2,0.8241,-0.1935
Ucuma,2,0.8241,-0.1935
Uíge,145,59.7472,4.0901
Viana,221,91.0630,4.5116
Virei,1,0.4120,-0.8866
Waco Kungo,1,0.4120,-0.8866
Xá-Muteba,2,0.8241,-0.1935
Zaire,149,61.3954,4.1173
Zombo,10,4.1205,1.4160
