Abrantes,31,12.7706,2.5471
Albufeira,1,0.4120,-0.8868
Alcochete,1,0.4120,-0.8868
Almada,17,7.0033,1.9464
Almeida,274,112.8760,4.7263
Amadora,8,3.2957,1.1926
Angra do Heroísmo,1,0.4120,-0.8868
Arouca,2,0.8239,-0.1937
Arraiolos,1,0.4120,-0.8868
Aveiro,5,2.0598,0.7226
Avis,2,0.8239,-0.1937
Açores,11,4.5315,1.5111
Batalha,89,36.6641,3.6018
Beja,2,0.8239,-0.1937
Benavente,12,4.9435,1.5981
Braga,9,3.7076,1.3104
Bragança,9,3.7076,1.3104
Caminha,11,4.5315,1.5111
Campo Maior,2,0.8239,-0.1937
Cascais,10,4.1196,1.4157
Castelo Branco,3,1.2359,0.2118
Chaves,20,8.2391,2.1089
Coimbra,40,16.4783,2.8020
Constância,3,1.2359,0.2118
Covilhã,4,1.6478,0.4995
Cuba,247,101.7532,4.6226
Espinho,2,0.8239,-0.1937
Faro,8,3.2957,1.1926
Fronteira,124,51.0826,3.9334
Gondomar,2,0.8239,-0.1937
Gouveia,26,10.7109,2.3713
Guarda,124,51.0826,3.9334
Guimarães,27,11.1228,2.4090
Horta,9,3.7076,1.3104
Lagoa,17,7.0033,1.9464
Lagos,53,21.8337,3.0835
Leiria,9,3.7076,1.3104
Lisboa,526,216.6890,5.3785
Loures,8,3.2957,1.1926
Madalena,7,2.8837,1.0591
Madeira,63,25.9532,3.2563
Maia,6,2.4717,0.9049
Matosinhos,1,0.4120,-0.8868
Mação,6,2.4717,0.9049
Mira,29,11.9467,2.4805
Mirandela,2,0.8239,-0.1937
Moita,7,2.8837,1.0591
Montemor-o-Velho,3,1.2359,0.2118
Mora,9,3.7076,1.3104
Mortágua,2,0.8239,-0.1937
Moura,23,9.4750,2.2487
Mourão,8,3.2957,1.1926
Nazaré,4,1.6478,0.4995
Nelas,12,4.9435,1.5981
Nordeste,16,6.5913,1.8858
Oeiras,12,4.9435,1.5981
Olhão,1,0.4120,-0.8868
Ourique,1,0.4120,-0.8868
Ourém,1,0.4120,-0.8868
Paredes,29,11.9467,2.4805
Paços de Ferreira,2,0.8239,-0.1937
Penafiel,4,1.6478,0.4995
Peniche,2,0.8239,-0.1937
Pombal,6,2.4717,0.9049
Porto,335,138.0054,4.9273
Povoação,5,2.0598,0.7226
Póvoa de Varzim,1,0.4120,-0.8868
Redondo,4,1.6478,0.4995
Resende,21,8.6511,2.1577
Ribeira Grande,1,0.4120,-0.8868
Santa Comba Dão,1,0.4120,-0.8868
Santa Cruz,1,0.4120,-0.8868
Santana,27,11.1228,2.4090
Santarém,7,2.8837,1.0591
Seia,1,0.4120,-0.8868
Serpa,4,1.6478,0.4995
Setúbal,6,2.4717,0.9049
Silves,1,0.4120,-0.8868
Sines,5,2.0598,0.7226
Sintra,10,4.1196,1.4157
São Vicente,3,1.2359,0.2118
Tavira,1,0.4120,-0.8868
Tomar,213,87.7467,4.4745
Tondela,53,21.8337,3.0835
Tábua,8,3.2957,1.1926
Vagos,7,2.8837,1.0591
Velas,8,3.2957,1.1926
Viana do Castelo,1,0.4120,-0.8868
Vila Flor,1,0.4120,-0.8868
Vila Franca de Xira,3,1.2359,0.2118
Viseu,2,0.8239,-0.1937
Évora,36,14.8304,2.6967
Óbidos,2,0.8239,-0.1937
