//--- Comparação de ocorrências lexicais entre grupos ---//
//--- Palavra | g16 (Angola) | g02 (Portugal) ---//

a                    | 101084, 39140.2799   | 0
aa                   | 9, 3.4848       | 0
aas                  | 3, 1.1616       | 1, 1.6451
aba                  | 6, 2.3232       | 1, 1.6451
abacateiros          | 1, 0.3872       | 0
abacates             | 2, 0.7744       | 0
abacaxi              | 7, 2.7104       | 0
abada                | 1, 0.3872       | 0
abafado              | 0               | 1, 1.6451
abafam               | 1, 0.3872       | 0
abafar               | 6, 2.3232       | 2, 3.2901
abafar-me            | 2, 0.7744       | 0
abafavam             | 0               | 1, 1.6451
abafou               | 0               | 1, 1.6451
abaixamento          | 4, 1.5488       | 0
abaixo               | 221, 85.5724      | 74, 121.7346
abaixo-assinado      | 4, 1.5488       | 0
abala-nos            | 1, 0.3872       | 0
abalada              | 3, 1.1616       | 4, 6.5802
abaladas             | 3, 1.1616       | 0
abalado              | 8, 3.0976       | 1, 1.6451
abalados             | 0               | 2, 3.2901
abalam               | 1, 0.3872       | 0
abalar               | 7, 2.7104       | 2, 3.2901
abalar-nos           | 2, 0.7744       | 0
abalaram             | 3, 1.1616       | 1, 1.6451
abalizado            | 2, 0.7744       | 0
abalou               | 5, 1.9360       | 2, 3.2901
abalroada            | 0               | 1, 1.6451
abalroamento         | 5, 1.9360       | 0
abalroar             | 0               | 1, 1.6451
abana                | 1, 0.3872       | 0
abanam               | 1, 0.3872       | 0
abanando             | 1, 0.3872       | 0
abanar               | 1, 0.3872       | 4, 6.5802
abandona             | 12, 4.6465       | 9, 14.8056
abandonada           | 6, 2.3232       | 5, 8.2253
abandonadas          | 17, 6.5825       | 3, 4.9352
abandonado           | 30, 11.6162      | 7, 11.5154
abandonados          | 15, 5.8081       | 3, 4.9352
abandonam            | 8, 3.0976       | 2, 3.2901
abandonamos          | 4, 1.5488       | 0
abandonando          | 2, 0.7744       | 0
abandonar            | 131, 50.7239      | 39, 64.1574
abandonaram          | 19, 7.3569       | 5, 8.2253
abandonarem          | 16, 6.1953       | 4, 6.5802
abandonará           | 5, 1.9360       | 2, 3.2901
abandonasse          | 1, 0.3872       | 0
abandonassem         | 0               | 1, 1.6451
abandonava           | 0               | 2, 3.2901
abandone             | 6, 2.3232       | 0
abandonei            | 4, 1.5488       | 0
abandonem            | 10, 3.8721       | 0
abandono             | 76, 29.4276      | 21, 34.5463
abandonos            | 2, 0.7744       | 0
abandonou            | 32, 12.3906      | 29, 47.7068
abandonou-a          | 0               | 1, 1.6451
abandoná-las         | 2, 0.7744       | 0
abandoná-lo          | 1, 0.3872       | 0
abandonássemos       | 2, 0.7744       | 0
abanão               | 2, 0.7744       | 0
abarca               | 7, 2.7104       | 1, 1.6451
abarcam              | 1, 0.3872       | 0
abarcando            | 4, 1.5488       | 0
abarcar              | 2, 0.7744       | 0
abarcava             | 1, 0.3872       | 0
abarcou              | 1, 0.3872       | 0
abarrotadas          | 4, 1.5488       | 0
abarrotado           | 3, 1.1616       | 0
abarrotados          | 4, 1.5488       | 0
abarrotar            | 7, 2.7104       | 0
abastada             | 2, 0.7744       | 2, 3.2901
abastadas            | 3, 1.1616       | 0
abastado             | 1, 0.3872       | 0
abastardou-se        | 1, 0.3872       | 0
abastece             | 8, 3.0976       | 0
abastecedor          | 1, 0.3872       | 0
abastecedores        | 1, 0.3872       | 0
abastecem            | 3, 1.1616       | 0
abastecer            | 17, 6.5825       | 3, 4.9352
abastecer-se         | 3, 1.1616       | 0
abastecerem          | 3, 1.1616       | 1, 1.6451
abastecia            | 3, 1.1616       | 2, 3.2901
abasteciam           | 2, 0.7744       | 0
abastecida           | 1, 0.3872       | 0
abastecidas          | 1, 0.3872       | 0
abastecidos          | 2, 0.7744       | 0
abastecimento        | 117, 45.3030      | 16, 26.3210
abastecimentos       | 2, 0.7744       | 0
abastecê-lo          | 1, 0.3872       | 0
abasteça             | 1, 0.3872       | 0
abata                | 0               | 1, 1.6451
abate                | 14, 5.4209       | 13, 21.3858
abate-se             | 2, 0.7744       | 0
abatem               | 3, 1.1616       | 0
abatem-nas           | 2, 0.7744       | 0
abatem-nos           | 1, 0.3872       | 0
abatendo             | 1, 0.3872       | 1, 1.6451
abater               | 21, 8.1313       | 8, 13.1605
abater-se            | 0               | 1, 1.6451
abateram             | 2, 0.7744       | 0
abateram-no          | 0               | 1, 1.6451
abates               | 0               | 3, 4.9352
abateu               | 10, 3.8721       | 3, 4.9352
abateu-os            | 0               | 1, 1.6451
abatida              | 1, 0.3872       | 2, 3.2901
abatidas             | 1, 0.3872       | 0
abatido              | 17, 6.5825       | 15, 24.6759
abatidos             | 8, 3.0976       | 4, 6.5802
abatimento           | 0               | 4, 6.5802
abatimentos          | 0               | 1, 1.6451
abatê-las            | 2, 0.7744       | 0
abatê-lo             | 0               | 1, 1.6451
abc                  | 13, 5.0337       | 0
abdica               | 6, 2.3232       | 2, 3.2901
abdicam              | 6, 2.3232       | 1, 1.6451
abdicando            | 2, 0.7744       | 2, 3.2901
abdicar              | 19, 7.3569       | 5, 8.2253
abdicação            | 1, 0.3872       | 0
abdicou              | 6, 2.3232       | 2, 3.2901
abdominais           | 1, 0.3872       | 1, 1.6451
abdominal            | 0               | 1, 1.6451
abdómen              | 2, 0.7744       | 6, 9.8704
abecedário           | 2, 0.7744       | 0
abeiram-se           | 1, 0.3872       | 0
abeirei-me           | 0               | 1, 1.6451
abel                 | 119, 46.0775      | 1, 1.6451
abelha               | 1, 0.3872       | 0
abelhas              | 9, 3.4848       | 1, 1.6451
abençoada            | 4, 1.5488       | 0
abençoado            | 5, 1.9360       | 1, 1.6451
abençoados           | 2, 0.7744       | 0
abençoar             | 1, 0.3872       | 1, 1.6451
abençoe              | 3, 1.1616       | 0
abençoou-nos         | 2, 0.7744       | 0
aberrantes           | 1, 0.3872       | 0
aberração            | 8, 3.0976       | 2, 3.2901
aberrações           | 4, 1.5488       | 0
aberta               | 127, 49.1751      | 49, 80.6080
abertamente          | 15, 5.8081       | 2, 3.2901
abertas              | 36, 13.9394      | 13, 21.3858
aberto               | 145, 56.1448      | 50, 82.2531
abertos              | 34, 13.1650      | 19, 31.2562
abertura             | 553, 214.1246     | 98, 161.2160
aberturas            | 8, 3.0976       | 1, 1.6451
abismado             | 1, 0.3872       | 0
abismais             | 1, 0.3872       | 0
abismal              | 3, 1.1616       | 0
abismo               | 8, 3.0976       | 3, 4.9352
abismos              | 1, 0.3872       | 0
ablação              | 0               | 1, 1.6451
abnegado             | 4, 1.5488       | 0
abnegação            | 9, 3.4848       | 0
abocanhada           | 1, 0.3872       | 0
abocanhado           | 1, 0.3872       | 0
abocanhar            | 5, 1.9360       | 0
abolida              | 2, 0.7744       | 0
abolido              | 2, 0.7744       | 0
abolidos             | 0               | 1, 1.6451
abolir               | 3, 1.1616       | 1, 1.6451
aboliram             | 0               | 1, 1.6451
aboliu               | 2, 0.7744       | 0
aboliu-se            | 1, 0.3872       | 0
