que,4.6149,10.3385,4.6149,10.3385,4.6149,10.3385
o,4.6996,10.3235,4.6996,10.3235,4.6996,10.3235
e,4.7144,10.2612,4.7144,10.2612,4.7144,10.2612
de,4.9840,10.8956,4.9840,10.8956,4.9840,10.8956
a,4.7394,10.5749,4.7394,10.5749,4.7394,10.5749
um,4.1988,9.0597,4.1988,9.0597,4.1988,9.0597
para,4.3357,9.4090,4.3357,9.4090,4.3357,9.4090
os,4.1671,9.3076,4.1671,9.3076,4.1671,9.3076
no,4.2731,9.1142,4.2731,9.1142,4.2731,9.1142
não,3.9668,9.0657,3.9668,9.0657,3.9668,9.0657
em,4.4956,9.5696,4.4956,9.5696,4.4956,9.5696
é,4.0859,9.0946,4.0859,9.0946,4.0859,9.0946
dos,4.0100,9.0532,4.0100,9.0532,4.0100,9.0532
do,4.5827,9.9153,4.5827,9.9153,4.5827,9.9153
da,4.5119,9.8154,4.5119,9.8154,4.5119,9.8154
com,4.2882,9.1329,4.2882,9.1329,4.2882,9.1329
uma,4.1344,8.9165,4.1344,8.9165,4.1344,8.9165
se,3.9177,8.7155,3.9177,8.7155,3.9177,8.7155
por,4.0190,8.7983,4.0190,8.7983,4.0190,8.7983
na,4.2038,8.9273,4.2038,8.9273,4.2038,8.9273
mas,3.5571,8.0220,3.5571,8.0220,3.5571,8.0220
mais,3.9108,8.4389,3.9108,8.4389,3.9108,8.4389
data,2.4216,8.2100,2.4216,8.2100,2.4216,8.2100
das,3.8456,8.4073,3.8456,8.4073,3.8456,8.4073
como,3.8313,8.4897,3.8313,8.4897,3.8313,8.4897
as,3.9892,8.8315,3.9892,8.8315,3.9892,8.8315
ao,3.8765,8.4577,3.8765,8.4577,3.8765,8.4577
à,3.7582,8.3902,3.7582,8.3902,3.7582,8.3902
vai,3.2133,7.0363,3.2133,7.0363,3.2133,7.0363
todos,3.1587,7.2143,3.1587,7.2143,3.1587,7.2143
ter,3.3414,7.3291,3.3414,7.3291,3.3414,7.3291
tem,3.4915,7.7733,3.4915,7.7733,3.4915,7.7733
também,3.6155,7.6821,3.6155,7.6821,3.6155,7.6821
sua,3.5392,7.6511,3.5392,7.6511,3.5392,7.6511
sobre,3.5128,7.4002,3.5128,7.4002,3.5128,7.4002
só,3.0273,7.0685,3.0273,7.0685,3.0273,7.0685
seu,3.4384,7.4624,3.4384,7.4624,3.4384,7.4624
ser,3.6025,7.9101,3.6025,7.9101,3.6025,7.9101
sem,3.1495,7.0209,3.1495,7.0209,3.1495,7.0209
segundo,3.1937,7.1243,3.1937,7.1243,3.1937,7.1243
são,3.4551,7.6978,3.4551,7.6978,3.4551,7.6978
santos,0.9542,7.2905,0.9542,7.2905,0.9542,7.2905
quando,3.2348,7.1388,3.2348,7.1388,3.2348,7.1388
presidente,3.3591,7.5307,3.3591,7.5307,3.3591,7.5307
porque,3.0678,7.2385,3.0678,7.2385,3.0678,7.2385
pessoas,3.4834,7.0479,3.4834,7.0479,3.4834,7.0479
pelo,3.6955,7.7442,3.6955,7.7442,3.6955,7.7442
pela,3.6584,7.5946,3.6584,7.5946,3.6584,7.5946
país,3.4612,7.8530,3.4612,7.8530,3.4612,7.8530
ou,3.4675,7.8782,3.4675,7.8782,3.4675,7.8782
nos,3.5064,7.6551,3.5064,7.6551,3.5064,7.6551
nas,3.3946,7.4085,3.3946,7.4085,3.3946,7.4085
nacional,2.6232,7.6347,2.6232,7.6347,2.6232,7.6347
muito,3.3769,7.2357,3.3769,7.2357,3.3769,7.2357
milhões,3.1526,7.3569,3.1526,7.3569,3.1526,7.3569
mesmo,3.1461,7.2171,3.1461,7.2171,3.1461,7.2171
já,3.5294,7.6918,3.5294,7.6918,3.5294,7.6918
isso,3.2011,7.2908,3.2011,7.2908,3.2011,7.2908
hoje,3.1821,7.1456,3.1821,7.1456,3.1821,7.1456
há,3.2433,7.5630,3.2433,7.5630,3.2433,7.5630
governo,3.2737,7.2267,3.2737,7.2267,3.2737,7.2267
foram,3.4997,7.0305,3.4997,7.0305,3.4997,7.0305
foi,3.8390,7.9165,3.8390,7.9165,3.8390,7.9165
este,2.8338,7.2002,2.8338,7.2002,2.8338,7.2002
estão,3.3111,7.0933,3.3111,7.0933,3.3111,7.0933
estado,3.0179,7.4525,3.0179,7.4525,3.0179,7.4525
está,3.5089,7.7076,3.5089,7.7076,3.5089,7.7076
esta,2.5490,7.0589,2.5490,7.0589,2.5490,7.0589
entre,3.5965,7.5086,3.5965,7.5086,3.5965,7.5086
disse,3.5298,7.2860,3.5298,7.2860,3.5298,7.2860
dia,3.5013,7.0063,3.5013,7.0063,3.5013,7.0063
depois,3.0577,7.0084,3.0577,7.0084,3.0577,7.0084
até,3.4208,7.1833,3.4208,7.1833,3.4208,7.1833
às,3.8943,7.0542,3.8943,7.0542,3.8943,7.0542
aos,3.3953,7.3928,3.3953,7.3928,3.3953,7.3928
anos,3.6507,7.5860,3.6507,7.5860,3.6507,7.5860
ano,3.5013,7.0955,3.5013,7.0955,3.5013,7.0955
angolano,0.3010,7.0174,0.3010,7.0174,0.3010,7.0174
ainda,3.4580,7.4900,3.4580,7.4900,3.4580,7.4900
vida,2.9571,6.4445,2.9571,6.4445,2.9571,6.4445
vez,3.1685,6.7240,3.1685,6.7240,3.1685,6.7240
ver,2.5490,6.1211,2.5490,6.1211,2.5490,6.1211
vários,2.5877,6.0405,2.5877,6.0405,2.5877,6.0405
vão,2.7796,6.1354,2.7796,6.1354,2.7796,6.1354
tudo,2.7300,6.5758,2.7300,6.5758,2.7300,6.5758
tribunal,1.9395,6.3671,1.9395,6.3671,1.9395,6.3671
três,3.1670,6.4849,3.1670,6.4849,3.1670,6.4849
trabalho,3.0228,6.3068,3.0228,6.3068,3.0228,6.3068
todo,3.0799,6.1988,3.0799,6.1988,3.0799,6.1988
todas,2.8500,6.1151,2.8500,6.1151,2.8500,6.1151
tendo,2.3541,6.2832,2.3541,6.2832,2.3541,6.2832
tempo,3.0966,6.5417,3.0966,6.5417,3.0966,6.5417
temos,2.6170,6.5523,2.6170,6.5523,2.6170,6.5523
têm,2.9315,6.8708,2.9315,6.8708,2.9315,6.8708
tal,1.8513,6.2839,1.8513,6.2839,1.8513,6.2839
sul,2.6314,6.0424,2.6314,6.0424,2.6314,6.0424
suas,3.0473,6.3972,3.0473,6.3972,3.0473,6.3972
sociedade,2.5465,6.3326,2.5465,6.3326,2.5465,6.3326
social,2.6263,6.5214,2.6263,6.5214,2.6263,6.5214
situação,2.8156,6.6288,2.8156,6.6288,2.8156,6.6288
sido,2.9380,6.6149,2.9380,6.6149,2.9380,6.6149
seus,3.1421,6.9156,3.1421,6.9156,3.1421,6.9156
serviços,2.6375,6.0909,2.6375,6.0909,2.6375,6.0909
será,3.2889,6.3442,3.2889,6.3442,3.2889,6.3442
sendo,3.1021,6.0678,3.1021,6.0678,3.1021,6.0678
sempre,2.8096,6.5373,2.8096,6.5373,2.8096,6.5373
seja,2.9350,6.5013,2.9350,6.5013,2.9350,6.5013
segurança,2.8420,6.4036,2.8420,6.4036,2.8420,6.4036
saúde,3.0508,6.3684,3.0508,6.3684,3.0508,6.3684
república,0.8451,6.7240,0.8451,6.7240,0.8451,6.7240
relação,2.9112,6.0020,2.9112,6.0020,2.9112,6.0020
regime,2.3874,6.9760,2.3874,6.9760,2.3874,6.9760
quer,2.5575,6.2411,2.5575,6.2411,2.5575,6.2411
quem,2.7966,6.7424,2.7966,6.7424,2.7966,6.7424
qualquer,2.7752,6.3940,2.7752,6.3940,2.7752,6.3940
qual,2.7810,6.1185,2.7810,6.1185,2.7810,6.1185
público,2.9827,6.3011,2.9827,6.3011,2.9827,6.3011
pública,2.6263,6.0961,2.6263,6.0961,2.6263,6.0961
província,1.9731,6.3054,1.9731,6.3054,1.9731,6.3054
produção,2.6335,6.2404,2.6335,6.2404,2.6335,6.2404
processo,2.8293,6.6206,2.8293,6.6206,2.8293,6.6206
prisão,2.6684,6.0210,2.6684,6.0210,2.6684,6.0210
primeiro,3.2322,6.2861,3.2322,6.2861,3.2322,6.2861
primeira,3.1421,6.1837,3.1421,6.1837,3.1421,6.1837
povo,2.4048,6.2650,2.4048,6.2650,2.4048,6.2650
português,2.0492,6.1496,2.0492,6.1496,2.0492,6.1496
população,2.9552,6.0803,2.9552,6.0803,2.9552,6.0803
políticos,2.2304,6.1479,2.2304,6.1479,2.2304,6.1479
política,2.7419,6.8044,2.7419,6.8044,2.7419,6.8044
polícia,2.6232,6.3953,2.6232,6.3953,2.6232,6.3953
poder,2.6893,6.9745,2.6893,6.9745,2.6893,6.9745
pode,3.2844,6.7094,3.2844,6.7094,3.2844,6.7094
petróleo,2.2856,6.5763,2.2856,6.5763,2.2856,6.5763
pelos,3.0314,6.4157,3.0314,6.4157,3.0314,6.4157
paz,2.2945,6.0285,2.2945,6.0285,2.2945,6.0285
passado,3.0726,6.1005,3.0726,6.1005,3.0726,6.1005
partido,2.5198,6.8206,2.5198,6.8206,2.5198,6.8206
parte,3.1578,6.7309,3.1578,6.7309,3.1578,6.7309
países,3.0896,6.9095,3.0896,6.9095,3.0896,6.9095
outros,3.1761,6.9614,3.1761,6.9614,3.1761,6.9614
outro,2.8351,6.3222,2.8351,6.3222,2.8351,6.3222
outras,2.9996,6.4579,2.9996,6.4579,2.9996,6.4579
organização,2.5866,6.2282,2.5866,6.2282,2.5866,6.2282
onde,3.2117,6.8927,3.2117,6.8927,3.2117,6.8927
nunca,2.4914,6.2389,2.4914,6.2389,2.4914,6.2389
numa,2.2279,6.8117,2.2279,6.8117,2.2279,6.8117
num,2.2201,6.7291,2.2201,6.7291,2.2201,6.7291
novo,2.9180,6.2789,2.9180,6.2789,2.9180,6.2789
nova,2.8182,6.2290,2.8182,6.2290,2.8182,6.2290
nosso,2.5786,6.2066,2.5786,6.2066,2.5786,6.2066
nossa,2.6263,6.1692,2.6263,6.1692,2.6263,6.1692
nós,2.5786,6.5007,2.5786,6.5007,2.5786,6.5007
nível,2.5250,6.2097,2.5250,6.2097,2.5250,6.2097
neste,3.0504,6.3381,3.0504,6.3381,3.0504,6.3381
nem,2.5658,6.3408,2.5658,6.3408,2.5658,6.3408
nada,2.4249,6.1725,2.4249,6.1725,2.4249,6.1725
mundo,3.0959,6.6511,3.0959,6.6511,3.0959,6.6511
muitos,2.6385,6.4333,2.6385,6.4333,2.6385,6.4333
ministro,2.9595,6.2672,2.9595,6.2672,2.9595,6.2672
ministério,2.0294,6.4227,2.0294,6.4227,2.0294,6.4227
mil,3.3359,6.9152,3.3359,6.9152,3.3359,6.9152
mercado,2.5105,6.2983,2.5105,6.2983,2.5105,6.2983
menos,3.0241,6.4377,3.0241,6.4377,3.0241,6.4377
melhor,2.9474,6.2343,2.9474,6.2343,2.9474,6.2343
março,2.9557,6.3757,2.9557,6.3757,2.9557,6.3757
maior,3.1526,6.6956,3.1526,6.6956,3.1526,6.6956
líder,2.7466,6.0534,2.7466,6.0534,2.7466,6.0534
liberdade,2.2601,6.1570,2.2601,6.1570,2.2601,6.1570
lei,2.5729,6.3284,2.5729,6.3284,2.5729,6.3284
justiça,2.0569,6.0597,2.0569,6.0597,2.0569,6.0597
jovens,2.6304,6.5795,2.6304,6.5795,2.6304,6.5795
jornal,2.6946,6.3145,2.6946,6.3145,2.6946,6.3145
janeiro,2.9238,6.0049,2.9238,6.0049,2.9238,6.0049
internacional,2.7474,6.7465,2.7474,6.7465,2.7474,6.7465
informação,2.4330,6.2976,2.4330,6.2976,2.4330,6.2976
humanos,2.5159,6.3215,2.5159,6.3215,2.5159,6.3215
guerra,2.4683,6.0579,2.4683,6.0579,2.4683,6.0579
grupo,3.1370,6.3089,3.1370,6.3089,3.1370,6.3089
grande,3.1498,6.4766,3.1498,6.4766,3.1498,6.4766
geral,2.6972,6.0229,2.6972,6.0229,2.6972,6.0229
formação,2.4232,6.0275,2.4232,6.0275,2.4232,6.0275
forma,2.9557,6.6807,2.9557,6.6807,2.9557,6.6807
fazer,3.1386,6.8935,3.1386,6.8935,3.1386,6.8935
falta,2.6561,6.1562,2.6561,6.1562,2.6561,6.1562
exemplo,2.6702,6.1413,2.6702,6.1413,2.6702,6.1413
executivo,2.0607,6.2701,2.0607,6.2701,2.0607,6.2701
eu,2.8470,6.4183,2.8470,6.4183,2.8470,6.4183
estes,1.8976,6.0087,1.8976,6.0087,1.8976,6.0087
estar,2.7796,6.0873,2.7796,6.0873,2.7796,6.0873
estamos,2.5185,6.2066,2.5185,6.2066,2.5185,6.2066
esse,2.9523,6.0524,2.9523,6.0524,2.9523,6.0524
essa,2.8971,6.3271,2.8971,6.3271,2.8971,6.3271
era,3.0603,6.5709,3.0603,6.5709,3.0603,6.5709
então,2.7152,6.1956,2.7152,6.1956,2.7152,6.1956
enquanto,2.7482,6.1940,2.7482,6.1940,2.7482,6.1940
empresas,2.6355,6.2825,2.6355,6.2825,2.6355,6.2825
eles,2.9538,6.0058,2.9538,6.0058,2.9538,6.0058
eleições,2.5353,6.0058,2.5353,6.0058,2.5353,6.0058
ele,3.3450,6.5180,3.3450,6.5180,3.3450,6.5180
economia,2.4298,6.4036,2.4298,6.4036,2.4298,6.4036
durante,3.1892,6.4327,3.1892,6.4327,3.1892,6.4327
duas,3.0633,6.0952,3.0633,6.0952,3.0633,6.0952
dólares,1.7709,6.6385,1.7709,6.6385,1.7709,6.6385
dois,3.3324,6.8061,3.3324,6.8061,3.3324,6.8061
dizer,2.3820,6.2997,2.3820,6.2997,2.3820,6.2997
diz,2.8627,6.3597,2.8627,6.3597,2.8627,6.3597
direitos,2.7193,6.5638,2.7193,6.5638,2.7193,6.5638
direito,2.6232,6.2501,2.6232,6.2501,2.6232,6.2501
dias,3.1206,6.4530,3.1206,6.4530,3.1206,6.4530
deve,3.0473,6.1287,3.0473,6.1287,3.0473,6.1287
deste,2.9355,6.3644,2.9355,6.3644,2.9355,6.3644
destaque,2.2695,6.1545,2.2695,6.1545,2.2695,6.1545
desta,2.8325,6.0039,2.8325,6.0039,2.8325,6.0039
desenvolvimento,2.6355,6.4524,2.6355,6.4524,2.6355,6.4524
desde,3.1139,6.8696,3.1139,6.8696,3.1139,6.8696
defesa,2.4698,6.0134,2.4698,6.0134,2.4698,6.0134
dar,2.7193,6.1295,2.7193,6.1295,2.7193,6.1295
crise,2.8182,6.2723,2.8182,6.2723,2.8182,6.2723
contra,3.3456,6.8265,3.3456,6.8265,3.3456,6.8265
conta,3.0899,6.2252,3.0899,6.2252,3.0899,6.2252
cinco,2.9042,6.0767,2.9042,6.0767,2.9042,6.0767
cidade,3.2151,6.1553,3.2151,6.1553,3.2151,6.1553
cidadãos,2.1584,6.1022,2.1584,6.1022,2.1584,6.1022
cerca,3.0734,6.2730,3.0734,6.2730,3.0734,6.2730
caso,3.0026,6.6128,3.0026,6.6128,3.0026,6.6128
cada,3.0473,6.4352,3.0473,6.4352,3.0473,6.4352
bem,2.9921,6.7849,2.9921,6.7849,2.9921,6.7849
banco,2.1303,6.3298,2.1303,6.3298,2.1303,6.3298
autoridades,2.8102,6.0479,2.8102,6.0479,2.8102,6.0479
autor,2.2504,6.1005,2.2504,6.1005,2.2504,6.1005
através,2.5502,6.0847,2.5502,6.0847,2.5502,6.0847
assim,2.8202,6.6665,2.8202,6.6665,2.8202,6.6665
aqui,2.6739,6.1446,2.6739,6.1446,2.6739,6.1446
apenas,3.1176,6.6660,3.1176,6.6660,3.1176,6.6660
antes,2.9581,6.0856,2.9581,6.0856,2.9581,6.0856
angolana,0.0000,6.6206,0.0000,6.6206,0.0000,6.6206
altura,2.2227,6.0331,2.2227,6.0331,2.2227,6.0331
alguns,2.8537,6.5356,2.8537,6.5356,2.8537,6.5356
algumas,2.6866,6.0087,2.6866,6.0087,2.6866,6.0087
além,3.0645,6.3131,3.0645,6.3131,3.0645,6.3131
agora,2.8482,6.6123,2.8482,6.6123,2.8482,6.6123
acordo,3.3465,6.6360,3.3465,6.6360,3.3465,6.6360
zona,2.6893,5.2797,2.6893,5.2797,2.6893,5.2797
vontade,2.2330,5.0122,2.2330,5.0122,2.2330,5.0122
volta,2.6749,5.0819,2.6749,5.0819,2.6749,5.0819
você,2.5809,5.1627,2.5809,5.1627,2.5809,5.1627
vive,2.0212,5.0746,2.0212,5.0746,2.0212,5.0746
vista,2.2553,5.6673,2.2553,5.6673,2.2553,5.6673
visita,2.6253,5.2797,2.6253,5.2797,2.6253,5.2797
via,2.3118,5.3916,2.3118,5.3916,2.3118,5.3916
vezes,2.7574,5.9807,2.7574,5.9807,2.7574,5.9807
verde,1.8513,5.1781,1.8513,5.1781,1.8513,5.1781
verdade,2.1761,5.7470,2.1761,5.7470,2.1761,5.7470
venda,2.3222,5.1196,2.3222,5.1196,2.3222,5.1196
várias,2.4969,5.7870,2.4969,5.7870,2.4969,5.7870
vamos,2.3522,5.7882,2.3522,5.7882,2.3522,5.7882
valores,2.1959,5.3951,2.1959,5.3951,2.1959,5.3951
valor,2.5658,5.9202,2.5658,5.9202,2.5658,5.9202
uns,1.4472,5.0199,1.4472,5.0199,1.4472,5.0199
universidade,1.9777,5.1033,1.9777,5.1033,1.9777,5.1033
unidos,1.4314,5.2082,1.4314,5.2082,1.4314,5.2082
unidas,0.8451,5.3297,0.8451,5.3297,0.8451,5.3297
unidade,2.4914,5.2145,2.4914,5.2145,2.4914,5.2145
único,2.3820,5.2497,2.3820,5.2497,2.3820,5.2497
união,2.2718,5.7131,2.2718,5.7131,2.2718,5.7131
últimos,2.7300,5.7482,2.7300,5.7482,2.7300,5.7482
último,2.8633,5.2797,2.8633,5.2797,2.8633,5.2797
última,2.8609,5.2395,2.8609,5.2395,2.8609,5.2395
tratamento,2.6274,5.0096,2.6274,5.0096,2.6274,5.0096
trabalhar,2.4232,5.4142,2.4232,5.4142,2.4232,5.4142
total,2.6684,5.7015,2.6684,5.7015,2.6684,5.7015
toda,2.7235,5.7182,2.7235,5.7182,2.7235,5.7182
tipo,2.6395,5.4414,2.6395,5.4414,2.6395,5.4414
tinham,2.3032,5.0402,2.3032,5.0402,2.3032,5.0402
tinha,2.7505,5.9953,2.7505,5.9953,2.7505,5.9953
teve,2.9047,5.7321,2.9047,5.7321,2.9047,5.7321
território,2.3201,5.0674,2.3201,5.0674,2.3201,5.0674
terra,2.1818,5.1671,2.1818,5.1671,2.1818,5.1671
termos,2.1367,5.8547,2.1367,5.8547,2.1367,5.8547
terem,2.2504,5.2678,2.2504,5.2678,2.2504,5.2678
terá,2.7316,5.5525,2.7316,5.5525,2.7316,5.5525
tenho,2.2041,5.3611,2.2041,5.3611,2.2041,5.3611
tenha,2.5302,5.4414,2.5302,5.4414,2.5302,5.4414
taxa,2.1584,5.3845,2.1584,5.3845,2.1584,5.3845
tão,2.5490,5.5328,2.5490,5.5328,2.5490,5.5328
tanto,2.5763,5.4090,2.5763,5.4090,2.5763,5.4090
superior,2.1430,5.4857,2.1430,5.4857,2.1430,5.4857
sublinhou,0.6021,5.1560,0.6021,5.1560,0.6021,5.1560
sociais,2.6170,5.7433,2.6170,5.7433,2.6170,5.7433
sobretudo,1.9445,5.7092,1.9445,5.7092,1.9445,5.7092
sob,2.6222,5.6806,2.6222,5.6806,2.6222,5.6806
sistema,2.7993,5.9807,2.7993,5.9807,2.7993,5.9807
sim,2.1761,5.5792,2.1761,5.5792,2.1761,5.5792
si,1.9731,5.0096,1.9731,5.0096,1.9731,5.0096
setembro,2.3598,5.9295,2.3598,5.9295,2.3598,5.9295
sete,2.6375,5.1265,2.6375,5.1265,2.6375,5.1265
sessão,1.8808,5.0891,1.8808,5.0891,1.8808,5.0891
serviço,2.5092,5.4245,2.5092,5.4245,2.5092,5.4245
seria,2.5705,5.4761,2.5705,5.4761,2.5705,5.4761
serem,2.4031,5.3520,2.4031,5.3520,2.4031,5.3520
serão,3.0099,5.0674,3.0099,5.0674,3.0099,5.0674
sentido,2.3054,5.8668,2.3054,5.8668,2.3054,5.8668
semana,2.9566,5.6415,2.9566,5.6415,2.9566,5.6415
sejam,2.4232,5.1975,2.4232,5.1975,2.4232,5.1975
seis,2.7709,5.7092,2.7709,5.7092,2.7709,5.7092
sei,1.9494,5.0044,1.9494,5.0044,1.9494,5.0044
segunda,3.1358,5.6579,3.1358,5.6579,3.1358,5.6579
secretário,2.7300,5.1033,2.7300,5.1033,2.7300,5.1033
saber,2.3502,5.5893,2.3502,5.5893,2.3502,5.5893
sabe,2.3010,5.5922,2.3010,5.5922,2.3010,5.5922
sábado,3.0261,5.1173,3.0261,5.1173,3.0261,5.1173
risco,2.6599,5.3203,2.6599,5.3203,2.6599,5.3203
